id,name,short_description,Spanish,Spanish Desc,Portuguese,Portuguese Desc
1,Cleaning,"Adding essential oils to your DIY cleaning solutions makes your home smell amazing, and gives your cleaning power a boost.",Limpieza,Agregrar aceites esenciales a sus soluciones de limpieza hace que su hogar huela increíble y le da un impuso a su poder de limpieza.,Limpeza,Adicionar óleos essenciais às suas próprias soluções de limpeza deixa sua casa com um perfume incrível e aumenta o poder de limpeza.
2,On the Go,Have all the benefits of essential oils at hand as you are out and about with these on-the-go recipes.,Para llevar,Tenga a la mano todos los beneficios de los aceites esenciales mientras viaja con estas recetas para llevar. ,Portátil,Tenha todos os benefícios dos óleos essenciais à mão quando estiver fora de casa com essas receitas portáteis.
3,Breakfast,Breakfast is the most important meal of the day. What better way to get started than with essential oil-infused recipes.,Desayuno,El desayuno es la comida más importante del día. Qué mejor manera de comenzar que con las recetas con aceites esenciales.,Café da manhã,O café da manhã é a refeicão mais importante do dia. Que maneira melhor de começar o dia do que com receitas com óleos essenciais?
4,Fermented Foods,"Fermented foods deliver healthful probiotics to the digestive tract, increase body alkalinity, and nutritional absorption.",Comidas Fermentadas,"Los alimentos fermentados aportan probióticos saludables al tracto digestivo, aumentan la alcalinidad del cuerpo y la absorcion nutricional.",Alimentos Fermentados,"Alimentos fermentados proporcionam probióticos saudáveis ao trato intestinal, aumentam a alcalinidade corporal e a absorção de nutrientes."
5,Smoothies,"Start with a basic formula for a tasty, essential oil-infused smoothie, and then try these amazing and healthy smoothy recipes.",Batidos,"Comience con una fórmula básica para un batido sabroso, infundido con aceites esenciales, y luego pruebe estas recetas de batidos increíbles y saludables.",Smoothies,"Comece com uma fórmula simples para um saboroso smoothie com óleos essenciais, e então experimente estas receitas de smoothies incriveis e saudáveis."
6,Baby,Making your own baby solutions gives you a gentle and safe option for a fraction of the cost; while replacing commercial products that are usually made with synthetic fragrances and chemicals.,Bebés,Hacer sus propias soluciones para bebés le brinda una opción suave y segura por una fracción del costo; mientras reemplaza los productos comerciales que generalmente están hechos con fragancias sintéticas y productos químicos.,Bebê,"Fazer seus próprios produtos para bebês lhe dá opções seguras e gentis por uma fração do custo, ao substituir produtos comerciais que geralmente são feitos com produtos químicos e fragrâncias sintéticas."
8,Bathroom,"By choosing a few simple ingredients you can clean your bathroom without any harsh chemicals or perfumes, and avoid commercially created products that often are very dangerous and caustic.",Baño,"Al elegir algunos ingredientes simples, puede limpiar su baño sin productos químicos o perfumes fuertes, y evitar productos creados comercialmente que a menudo son muy peligrosos y cáusticos.",Banheiro,"Ao optar por alguns ingredientes simples, você pode limpar o seu banheiro sem nenhuma química ou perfume forte, e evitar produtos comerciais que com frequência são perigosos e cáusticos."
9,Kitchen,"Using essential oil cleaning solutions for your kitchens surfaces, appliances and floors makes your kitchen smell great and eliminates store-bought chemicals.",Cocina,"El uso de soluciones de limpieza con acetes esenciales para las superficies, electrodomésticos y pisos de su cocina hace que su cocina huela muy bien y elimina el uso de los químicos comprados en la tienda",Cozinha,"Utilizar soluções de limpeza com óloes essenciais em sua cozinha nas bancadas, equipamentos e piso, faz com que sua cozinha fique com um perfume incrível e elimina produtos químicos comercializados em lojas."
10,Laundry,Give your clothes the natural scent of essential oils and avoiding harsh chemicals with these laundry recipes.,Lavanderia,Dale a tu ropa el aroma natural de los aceites esenciales y evita los productos químicos agresivos con estas recetas de lavandería.,Lavanderia,Dê às suas roupas o perfume natural de óleos essenciais e evite quimicas pesadas com essas receitas para lavar roupas.
12,Beverages,Use essential oils for added flavor and health benefits for your daily water needs. Use them as a substitute to spice up your favorite beverages.,Bebidas,Use aceites esenciales para agregar sabor y beneficios de salud a sus necesidades diarias de agua. Úselos como un sustituto para condimentar sus bebidas favoritas.,Bebidas ,Use óloes essenciais para dar sabor e benefícios de saúde à água que você bebe diariamente. Use-os como substituto para dar sabor às suas bebidas favoritas.
13,Breads,"Essential oils are a great way to add savory, spicy, and sweet tastes to your breads. You can use them in place of herbs, and even make bread dips.",Panes,"Los aceites esenciales son una excelente manera de agregar sabores salados, picantes y dulces a sus panes. Puede usarlos en lugar de hierbas e incluso hacer salsas para remojar pan.",Pães,"Óleos essenciais são uma excelente maneira de adicionar sabores salgados, picantes ou adocicados aos seus pães. Você pode usá-los no lugar de ervas, e até para pastas."
14,Desserts,Desserts get a lot easier when using essential oils for ingredients. Try these recipes to satisfy your sweet cravings.,Postres,Los postres se vuelven mucho más fáciles cuando se usan aceites esenciales como ingredientes. Pruebe esas recetas para satisfacer sus antojos. ,Sobremesas,Sobremesas ficam muito mais fáceis ao utilizar óleos essenciais como ingredientes. Experimente estas receitas para satisfazer desejos por doces.
15,Dressings & Marinades,Making your own dressings and marinades at home is easy. Add some extra flavor with essential oils.,Aderezos y Marinadas,Crear sus propios aderezos y marinadas en casa es cosa fácil. Agregue un poco de sabor extra con aceites esenciales. ,Molhos de salada e Marinadas,Fazer seus próprios molhos para salada e marinadas em casa é fácil. Adicione sabor extra com óleos essenciais.
16,Main Dishes,"Essential oils work great with chicken, red meats, and vegetables. Try out these amazing main dishes.",Platos Principales,"Los aceites esenciales funsionan muy bien con pollo, carnes rojas y verduras. Prueba estos increíbles platos principales. ",Pratos Principais,"Óleos essenciais são excelentes para temperar frango, carne vermelha e vegetais. Experimente estas incríveis receitas para pratos principais."
17,Salads,Using essential oils to flavor olive oil makes a great seasoning and a fantastic addition to salads and dressings.,Ensaladas,El uso de aceites esenciales para dar sabor al aceite de oliva es un excelente condimento y una fantástica adición a las ensaladas y aderezos.,Saladas,Utilizar óleos essenciais para saborizar azeite de oliva o torna um excelente tempero e um fantástico toque a mais em saladas e molhos.
18,Sauces & Seasonings,"Spice up your sauces & seasonings with essential oils in recipes that call for herbs, spices, zest, juices or extracts.",Salsas y Condimentos,"Dale sabor a tus salsas y condimentos con aceites esenciales en recetas que requieren hierbas, especias, ralladura, jugos o extractos.",Molhos e Temperos,"Melhore seus molhos e temperos preparados utilizando óleos essenciais em receitas que pedem por ervas, especiarias, sucos ou extratos."
19,Side Dishes,Try these tasty side dishes seasoned and spiced with essential oils. Just a little bit of oil goes a long way.,Guarniciones,Pruebe estos sabrosos platos secundarios sazonados y condimentados con aceites esenciales. Solo un poco de aceite hará un gran cambio.,Acompanhamentos,Experimente estes saborosos acompanhamentos temperados com óleos essenciais. Apenas um pouquinnho de óleo faz bastante diferença.
20,Snacks,"Try these tasty cookies, lemon bites, and fruit dips for a quick snack flavored with your favorite essential oils.",Aperitivos,"Pruebe estas sabrosas galletas, bocadillos de limón y salsas de frutas para un refrigerio rápido con sus aceites esenciales favoritos.",Lanches,"Experimente estes deliciosos cookies, biscoitinhos de limão e pastas de frutas para lanchinhos, saborizados com seus óleos essenciais favoritos."
21,Soups,Adding a couple of drops of well chosen essential oils can really lift the flavor of vegetables and meats. These soups are tasty and satisfying.,Sopas,Agregar un par de gotas de aceites esenciales bien elegidos puede realmente mejorar el sabor de las verduras y las carnes. Estas sopas son sabrosas y satisfactorias.,Sopas,Adicionar algumas gotas de óleos essenciais específicos pode melhorar bastante o sabor de carnes e vegetais. Estas sopas são saborosas e satisfazem.
22,DIY & Gift-Giving,"Hand-made gifts are fun, creative, and unique. Here are some great ideas for that personal touch.",Hazlo tu mismo y Regalos,"Los regalos hechos a mano son divertidos, creativos y únicos. Aquí hay algunas ideas geniales para ese toque personal.",DIY & presentes,"Presentes feitos à mão são divertidos, criativos e únicos. Estas são algumas ideias para dar aquele toque pessoal."
23,First Aid,"Essential oils are the perfect addition to your first aid kit. They have multiple uses, are affordable and completely natural.",Primeros Auxilios,"Los aceites esenciales son el complemento perfecto para su botiquín de primeros auxilios. Tienen múltiples usos, son asequibles y completamente naturales.",Primeiros Socorros,"Óleos essenciais são um acréscimo perfeito ao seu kit de primeiros-socorros. Eles têm múltiplos usos, cabem no bolso e são completamente naturais."
24,Fitness,"Overcome cravings, balance your metabolism, and soothe those sore muscles with these essential oil fitness recipes.",En Forma,"Supere los antojos, equilibre su metabolismo y alivie esos dolores musculares con estas recetas de aceites esenciales.",Fitness,"Supere desejos e ânsias, equilibre seu metabolismo e alivie inchaço muscular com essas receitas fitness com óleos essenciais."
25,Garden,85% of all plant disease is fungal-related and using essential oils can help keep your garden organic and fungus free while keeping insects at bay.,Jardinería,El 85% de todas las enfermedades de las plantas están relacionadas con hongos y el uso de aceites esenciales puede ayudar a mantener su jardín orgánico y libre de hongos mientras mantiene a los insectos alejados.,Jardim,"85% das doenças em plantas têm relação com fungos, e usar óleos essenciais pode ajudar a manter o seu jardim orgânico e livre de fungos enquanto mantém insetos afastados."
26,Guys,Many products for men are both expenses and toxic. Try these essential-oil based recipes instead.,Hombres,Muchos productos para hombres son caros y tóxicos. Prueba estas recetas a base de aceites esenciales. ,Homens,Muitos produtos masculinos são tão caros quanto tóxicos. Experimente estas receitas baseadas em óleos essenciais.
27,Holiday Season,"Create the perfect holiday season with these recipes for crafts, goodies, and scented ornaments.",Temporada Navideña,"Crea la temporada navideña perfecta con estas recetas para manualidades, golosinas y adornos perfumados.",Datas Comemorativas,"Crie o ambeinte perfeito para cada data comemorativa com estas receitas para crafts, guloseimas e ornamentos perfumados."
28,Intimacy,Essential oils have been used throughout centuries to increase sensuality and passion by helping create a healthy ambience and environment.,Intimidad,Los aceites esenciales se han utilizado durante siglos para aumentar la sensualidad y la pasión al ayudar a crear un ambiente favorable y saludable.,Intimidade,Óleos essenciais têm sido usados há séculos para aumentar a sensualidade e a paixão ao criar um ambiente e clima saudáveis.
29,Outdoors,Keep bugs and negative side effects at bay with these outdoor recipes. Protect yourself from the sun and smell amazing at the same time.,Al Aire Libre,Mantenga a los insectos alejados y a los efectos secundarios negativos con estas recetas para aire libre. Protégete del sol y huele increíble al mismo tiempo.,Ao ar livre,Mantenha insetos e efeitos colaterias negativos afastados com estas receitas quando estiver ao ar livre. Proteja-se do Sol e fique com um perfume incrível ao mesmo tempo.
30,Personal Care,Incorporating all-natural essential oil recipes into your personal care routine to help bypass negative side effects and harmful chemicals.,Cuidado Personal,Incorporar recetas de aceites esenciales totalmente naturales en su rutina de cuidado personal ayuda a evitar los efectos secundarios negativos y los productos químicos nocivos.,Cuidado pessoal,Incorpore receitas naturais com óleos essenciais na sua rotina de cuidado pessoal para ajudar a driblar efeitos colaterais negativos e químicas perigosas.
31,Pets,Essential oils can provide all-natural solutions for our pets too! Check out these recipes for safe and natural pet solutions.,Mascotas,¡Los aceites esenciales también pueden proporcionar soluciones totalmente naturales para nuestras mascotas! Echa un vistazo a estas recetas para obtener soluciones seguras y naturales para mascotas.,Animais de estimação,Óleos essenciais providenciam soluções totalmente naturais para animais de estimação também! Confira estas receitas para soluções naturais e seguras para animais.
32,Pregnancy,"Essential oils are a powerful aid during pregnancy, especially since most medications have side effects that can be harmful to the mother as well as the growing baby.",Embarazo,"Los aceites esenciales son una ayuda poderosa durante el embarazo, especialmente porque la mayoría de los medicamentos tienen efectos secundarios que pueden ser perjudiciales para la madre y el bebé en crecimiento.",Gravidez,"Óleos essenciais são ajudantes poderosos durante a gravidez, especialmente porque a maioria dos medicamentos tem efeitos colaterais que podem ser perigosos tanto para a mãe quanto para o bebê."