id,name,Ingredient Portuguese,ingredient Spanish
8,2-3 drops cilantro,2-3 gotas de coentro,2-3 gotas de cilantro
9,2-3 drops melaleuca,2-3 gotas de tea tree,2-3  gotas de melaleuca
11,1-2 drops copaiba,1-2 gotas de copaíba,1-2 gotas de copaiba
18,30 drops Deep Blue®,30 gotas de Deep Blue®,30 gotas de Deep Blue®
25,1-2 cups Epsom salts,1-2 xícaras de sais de Epsom,1-2 tazas de sal de Epsom
26,11 drops copaiba,11 gotas de copaíba,11 gotas de copaiba
29,2 drops lemon (tonic for the liver),2 gotas de limão siciliano (tônico para o fígado),12 gotas de limón (tónico para el hígado)
30,2 drops grapefruit (dissolves toxins stored in fat cells),2 gotas de toranja (dissolve toxinas armazenadas nas células adiposas),12 gotas de toronja (disuelve las toxinas almacenadas en las células)
31,2 drops ginger (digestive support),2 gotas de gengibre (suporte digestivo),2 gotas de jengibre (ayuda con la digestión)
32,1 drop cinnamon (regulates blood sugar levels),1 gota de canela (regula os níveis de açúcar no sangue),1 gota de canela (regula los niveles de azúcar en la sangre)
40,3 drops coriander or basil,3 gotas de coentro ou manjericão,3 gotas de semilla de cilantro o albahaca
41,3 drops Slim & Sassy®,3 gotas de Slim & Sassy®,3 gotas de Slim & Sassy®
47,1/2 cup warm water,1/2 xícara de água morna,1/2 de agua tibia
48,1 tsp raw honey or agave,1 colher de chá de mel cru ou agave,1 cdta. de miel o agave
55,1-2 drops melissa,1-2 gotas de melissa,1-2 gotas de melissa
57,1-2 drops patchouli,1-2 gotas de patchouli,1-2 gotas de pachuli
63,9 drops cassia,9 gotas de cássia,9 gotas de casia
64,8 drops clove,8 gotas de cravo,8 gotas de clavo
65,6 drops cinnamon,6 gotas de canela,6 gotas de canela
66,4 drops oregano,4 gotas de orégano,4 gotas de orégano
80,4 drops cellular complex blend,4 gotas de mix de complexo celular,4 gotas de mezcla compleja celular
82,2-3 drops clove,2-3 gotas de cravo,2-3 gotas de clavo
83,2-3 drops grapefruit,2-3 gotas de toranja,2-3 gotas de toronja
84,2-3 drops lavender,2-3 gotas de lavanda,2-3 gotas de lavanda
85,2-3 drops cellular complex blend,2-3 gotas de mix de complexo celular,2-3 gotas de mezcla compleja celular
87,5-6 drops clove or thyme,5-6 gotas de cravo ou tomilho,5-6 gotas de clavo o tomillo
88,5-6 drops frankincense,5-6 gotas de olíbano,5-6 gotas de incienso
89,5-6 drops lemongrass,5-6 gotas de capim limão,5-6 gotas de lemongrass
90,5-6 drops rosemary,5-6 gotas de alecrim,5-6 gotas de romero
91,5-6 drops sandalwood,5-6 gotas de sândalo,5-6 gotas de sándalo
95,3 drops cilantro,3 gotas de coentro,3 gotas de cilantro
97,1 tablespoon organic apple cider vinegar,1 colher de sopa de vinagre de maçã orgânico,1 cda. de vinagre de manzana orgánico
98,1 teaspoon honey,1 colher de chá de mel,1 cdta. de miel
99,2 drops lemon ,2 gotas de limão siciliano,2 gotas de limón
100,2 drops ginger ,2 gotas de gengibre,2 gotas de jengibre
101,1 drop cinnamon ,1 gota de canela,1 gota de canela
102,10 ounces warm water,10 onças de água morna,295 ml (10 onzas) de agua tibia
103,½ cup of aluminum-free baking soda,½ xícara de bicarbonato de sódio sem alumínio,½ taza de bicarbonato sin aluminio
104,2-3 tablespoons of carrier oil,2-3 colheres de sopa de óleo carreador,2-3 cucharadas de aceite portador
108,2 tsp fractionated coconut oil,2 colheres de chá de óleo de coco fracionado,2 cdta. de aceite de coco fraccionado
109,2 drops grapefruit or tangerine,2 gotas de toranja ou tangerina,2 gotas de toronja o mandarina
111,2 drops blue tansy,2 gotas de tanaceto azul,2 gotas de tanaceto azul
114,5 drops coriander,5 gotas de coentro,5 gotas de semilla de cilantro
115,4 drops green mandarin,4 gotas de mandarina verde,4 gotas de mandarina verde
116,4 drops DigestZen®,4 gotas de DigestZen®,4 gotas de DigestZen®
127,2 drops ginger,2 gotas de gengibre,2 gotas de jengibre
131,14 drops cypress,14 gotas de cipreste,14 gotas de ciprés
134,12 drops vetiver,12 gotas de vetiver,12 gotas de vetiver
135,18 drops Roman chamomile,18 gotas de camomila romana,18 gotas de manzanilla romana
141,"1-3 drops basil, cinnamon, grapefruit, thyme, Slim & Sassy®","1-3 gotas de manjericão, canela, toranja, tomilho, Slim & Sassy®","1-3 gotas de albahaca, canela, toronja, tomillo, Slim & Sassy®"
145,7 drops rosemary,7 gotas de alecrim,7 gotas de romero
146,20 drops clove,20 gotas de cravo,20 gotas de clavo
147,20 drops myrrh,20 gotas de mirra,20 gotas de mirra
150,30 drops basil,30 gotas de manjericão,30 gotas de albahaca
151,25 drops vetiver,25 gotas de vetiver,25 gotas de vetiver
152,25 drops cypress,25 gotas de cipreste,25 gotas de ciprés
153,6 drops Slim & Sassy®,6 gotas de Slim & Sassy®,6 gotas de Slim & Sassy®
156,12 drops sandalwood,12 gotas de sândalo,12 gotas de sándalo
159,1 drop jasmine,1 gota de jasmim,1 gota de jazmín
160,1 drops frankincense,1 gota de olíbano,1 gota de incienso
161,1 drops peppermint,1 gota de hortelã-pimenta,1 gota de menta
163,2 drops rose or geranium,2 gotas de rosa ou gerânio,2 gotas de rosa o geranio
166,3 drops clary sage,3 gotas de sálvia esclareia,2 gotas de salvia
168,20 drops wild orange oil,20 gotas de laranja lima,20 gotas de aceite de naranja silvestre
172,5 drops helichrysum,5 gotas de immortelle,5 gotas de helicriso
191,2 drops cedarwood ,2 gotas de cedro,2 gotas de cedro
192,2 drops lavender ,2 gotas de lavanda,2 gotas de lavanda
193,1 drop Roman chamomile ,1 gota de camomila romana,1 gota de manzanilla romana
194,1 drop sandalwood ,1 gota de sândalo,1 gota de sándalo
195,1 drop vetiver ,1 gota de vetiver,1 gota de vetiver
201,15 drops bergamot,15 gotas de bergamota,15 gotas de bergamota
202,20 drops grapefruit ,20 gotas de toranja,20 gotas de toronja
203,25 drops wild orange,25 gotas de laranja lima,25 gotas de naranja silvestre
204,15 drops frankincense ,15 gotas de olíbano,15 gotas de incienso
206,24 drops rosemary,24 gotas de alecrim,24 gotas de romero
207,18 drops cedarwood,18 gotas de cedro,18 gotas de cedro
208,14 drops geranium,14 gotas de gerânio,14 gotas de geranio
209,12 drops peppermint,12 gotas de hortelã-pimenta,12 gotas de menta
211,40 drops carrier oil,40 gotas de óleo carreador,40 gotas de aceite portador
212,18 drops bergamot,18 gotas de bergamota,18 gotas de bergamota
213,13 drops Siberian or Douglas fir,13 gotas de abeto de Douglas ou abeto siberiano,13 gotas de abeto siberiano o abeto douglas
214,10 drops clove,10 gotas de cravo,10 gotas de clavo
222,2 drops frankincense ,2 gotas de olíbano,2 gotas de incienso
226,1 drops ginger,1 gota de gengibre,1 gota de jengibre
236,8 drops Balance®,8 gotas de Balance®,8 gotas de Balance®
237,8 drops Deep Blue®,8 gotas de Deep Blue®,8 gotas de Deep Blue®
239,6 drops lemongrass,6 gotas de capim limão,6 gotas de lemongrass
241,2 drops spearmint or peppermint,2 gotas de hortelã ou hortelã-pimenta,2 gotas de hierbabuena o menta
246,3 drops cassia or cinnamon,3 gotas de cássia ou canela,3 gotas de casia o canela
247,2 drops On Guard®,2 gotas de On Guard®,2 gotas de On Guard®
248,2 drops melissa,2 gotas de melissa,2 gotas de melisa
253,12 drops Siberian fir,12 gotas de abeto siberiano,12 gotas de abeto siberiano
254,9 drops lemongrass,9 gotas de capim limão,9 gotas de lemongrass
255,6 drops basil,6 gotas de manjericão,6 gotas de albahaca
259,7 drops helichrysum,7 gotas de immortelle,7 gotas de helicriso
260,7 drops patchouli,7 gotas de patchouli,7 gotas de pachuli
262,5 drops Roman chamomile,5 gotas de camomila romana,5 gotas de manzanilla romana
264,2 drops pink pepper,2 gotas de pimenta rosa,2 gotas de pimienta rosa
265,14 drops frankincense,14 gotas de olíbano,14 gotas de incienso
268,8 drops vetiver,8 gotas de vetiver,8 gotas de vetiver
270,2 drops cinnamon or clove,2 gotas de canela ou cravo,20 gotas de canela o clavo
271,2 drops cassia,2 gotas de cássia,2 gotas de casia
272,2 drops oregano or thyme (alternate; use oregano in ten-day cycles; take break for twenty days),2 gotas de orégano ou tomilho (alternativo; use orégano em ciclos de dez dias; faça pausas por vinte dias),"2 gotas de orégano o tomillo (alternar: usar orégano en ciclos de 10 días, descansar por veinte días)"
274,6 drops peppermint,6 gotas de hortelã-pimenta,6 gotas de menta
275,6 drops melaleuca,6 gotas de tea tree,6 gotas de melaleuca
280,4 drops copaiba,4 gotas de copaíba,4 gotas de copaiba
283,3 drops green mandarin,3 gotas de mandarina verde,3 gotas de mandarina verde
285,1 drop melissa,1 gota de melissa,1 gota de melisa
290,25 drops lavender,25 gotas de lavanda,25 gotas de lavanda
291,25 drops helichrysum,25 gotas de immortelle,25 gotas de helicriso
292,25 drops peppermint,25 gotas de hortelã-pimenta,25 gotas de menta
293,5 drops melaleuca ,5 gotas de tea tree,5 gotas de melaleuca
295,3 drops clove ,3 gotas de cravo,3 gotas de clavo
300,8 drops lemongrass,8 gotas de capim limão,8 gotas de lemongrass
308,7 drops peppermint,7 gotas de hortelã-pimenta,7 gotas de menta
311,1 tablespoon beeswax,1 colher de chá de cera de abelha,1 cucharada de cera de abejas
312,4 tablespoons carrier oil,4 colheres de sopa de óleo carreador,4 cucharadas de aceite portador
313,"10-30 drops each of wintergreen, lemongrass, marjoram and/or lavender","10-30 gotas de wintergreen, capim limão, manjerona e/ou lavanda","10-30 gotas de cada uno: gaulteria, lemongrass, mejorana y/o lavanda"
314,2 drops cinnamon,2 gotas de canela,2 gotas de canela
320,12 drops wild orange,12 gotas de laranja lima,12 gotas de naranja silvestre
321,9 drops clary sage,9 gotas de sálvia esclareia,9 gotas de salvia
325,6 drops ylang ylang,6 gotas de ylang ylang,6 gotas de ylang ylang
326,4 drops clary sage,4 gotas de sálvia esclareia,4 gotas de salvia
327,5 drops of TerraShield®,5 gotas de TerraShield®,5 gotas de TerraShield®
329,12 drops clary sage,12 gotas de sálvia esclareia,12 gotas de salvia
330,10 drops fennel,10 gotas de erva-doce,10 gotas de hinojo
331,7 drops geranium,7 gotas de gerânio,7 gotas de geranio
332,8 drops spikenard,8 gotas de nardo,8 gotas de nardo
333,8 drops bergamot,8 gotas de bergamota,8 gotas de bergamota
338,30 drops of Slim & Sassy®,30 gotas de Slim & Sassy®,30 gotas de Slim & Sassy®
339,15 drops eucalyptus,15 gotas de eucalipto,15 gotas de eucalipto
340,15 drops peppermint ,15 gotas de hortelã-pimenta,15 gotas de menta
343,10 drops ClaryCalm®,10 gotas de ClaryCalm®,10 gotas de ClaryCalm®
344,5 drops wintergreen,5 gotas de wintergreen,5 gotas de gaulteria
348,8 drops fennel,8 gotas de erva-doce,8 gotas de hinojo
350,4 drops patchouli,4 gotas de patchouli,4 gotas de pachuli
351,2 ounces carrier oil,2 onças de óleo carreador,60 ml (2 onzas) de aceite portador
352,7 drops basil,7 gotas de manjericão,7 gotas de albahaca
353,6 drops clary sage,6 gotas de sálvia esclareia,6 gotas de salvia
355,2 cups Epsom salt,2 xícaras de sais de Epsom,2 tazas de sal de Epsom
356,1 cups baking soda,1 xícara de bicarbonato de sódio,1 taza de bicarbonato
357,10 drops of Slim & Sassy®,10 gotas de Slim & Sassy®,10 gotas de Slim & Sassy®
365,5 drops grapefruit,5 gotas de toranja,5 gotas de toronja
368,6 drops cleansing blend,6 gotas do mix purificador,6 gotas de mezcla de limpieza
370,5 drops lemongrass,5 gotas de capim limão,5 gotas de lemongrass
375,1 drop cypress,1 gota de cipreste,1 gota de ciprés
377,12 drops invigorating blend,12 gotas do mix revigorante,12 gotas de mezcla tonificante
380,1 cup orange juice,1 xícara de suco de laranja,1 taza de jugo de naranja
381,1/2 cup lemon juice,1/2 xícara de suco de limão,1/2 taza de jugo de limón
382,1/2 cup chopped pineapple,1/2 xícara de abacaxi picado,1/2 taza de piña picada
383,1 tbsp raw honey,1 colher de sopa de mel cru,1 cdta. de miel pura
384,1 tbsp coconut oil,1 colher de sopa de óleo de coco,1 cdta. de aceite de coco
385,1 piece ginger or 1-2 drops of ginger,1 pedaço de gengibre ou 1-2 gotas de gengibre,1 trocito de jengibre o 1-2 gotas de jengibre
386,1/4 tsp cayenne pepper,1/4 de colher de chá de pimenta caiena,1/4 cdta. de pimienta roja
390,10 drops invigorating blend,10 gotas do mix revigorante,10 gotas de mezcla tonificante
393,5 drops grounding blend,5 gotas do mix para aterramento,5 gotas de mezcla de base
394,5 drops restful blend,5 gotas do mix para serenidade,5 gotas de mezcla apacible
395,10 drops lime,10 gotas de limão,5 gotas de lima
398,5 drops black pepper,5 gotas de pimenta preta,5 gotas de pimienta negra
399,18 drops marjoram or thyme,18 gotas de manjerona ou tomilho,18 gotas de mejorana o tomillo
400,12 drops geranium,12 gotas de gerânio,12 gotas de geranio
401,12 drops lavender,12 gotas de lavanda,12 gotas de lavanda
402,8 drops eucalyptus,8 gotas de eucalipto,8 gotas de eucalipto
404,¼ cup cocoa butter ,1/4 xícara de manteiga de cacau,¼ taza de mantequilla de cacao
405,¼ cup coconut oil ,1/4 xícara de óleo de coco,¼ taza de aceite de coco
406,20 drops lavender ,20 gotas de lavanda,20 gotas de lavanda
407,6 drops Douglas fir,6 gotas de abeto de Douglas,6 gotas de abeto douglas
408,6 drops cedarwood,6 gotas de cedro,6 gotas de cedro
410,1/2 cup honey,1/2 xícara de mel,1/2 taza de miel
411,8 drops peppermint,8 gotas de hortelã-pimenta,8 gotas de menta
413,8 drops lavender,8 gotas de lavanda,8 gotas de lavanda
425,7 drops frankincense,7 gotas de olíbano,7 gotas de incienso
426,6 drops Siberian fir,6 gotas de abeto siberiano,6 gotas de abeto siberiano
428,11 drops helichrysum,11 gotas de immortelle,11 gotas de helicriso
433,4 drops Siberian fir,4 gotas de abeto siberiano,4 gotas de abeto siberiano
436,10 drops turmeric,10 gotas de açafrão,10 gotas de cúrcuma
437,2 drops spikenard,2 gotas de nardo,2 gotas de nardo
440,4 drops turmeric,4 gotas de açafrão,4 gotas de cúrcuma
445,8 ml jojoba,8 ml de jojoba,8 ml de jojoba
449,1 drop coriander,1 gota de coentro,1 gota de semilla de cilantro
473,2 drops Slim & Sassy®,2 gotas de Slim & Sassy®,2 gotas de Slim & Sassy®
482,2-3 drops peppermint,2-3 gotas de hortelã-pimenta,2-3 gotas de menta
483,2-3 drops Slim & Sassy®,2-3 gotas de Slim & Sassy®,2-3 gotas de Slim & Sassy®
485,2-3 drops peppermint or beadlets,2-3 gotas de hortelã-pimenta ou grânulos,2-3 gotas de menta o cápsulas
487,1 drop black pepper,1 gota de pimenta preta,1 gota de pimienta negra
491,Wintergreen,Wintergreen,Gaulteria
494,Deep Blue® rub,Esfregar Deep Blue®,Loción de Deep Blue®
495,6 drops Roman chamomile,6 gotas de camomila romana,6 gotas de manzanilla romana
496,4 drops geranium,4 gotas de gerânio,4 gotas de geranio
499,15 drops lavender,15 gotas de lavanda,15 gotas de lavanda
500,15 drops geranium,15 gotas de gerânio,15 gotas de geranio
501,15 drops melaleuca,15 gotas de tea tree,15 gotas de melaleuca
502,15 drops myrrh,15 gotas de mirra,10 gotas de mirra
503,15 drops oregano,15 gotas de orégano,15 gotas de orégano
515,Phytoestrogen Complex,Complexo Fitoestrogênico,Complejo fitoestrógeno
516,2-3 drops geranium,2-3 gotas de gerânio,2-3 gotas de geranio
517,16 drops grapefruit,16 gotas de toranja,16 gotas de toronja
518,Spikenard,Nardo,Nardo
521,2-3 drops copaiba,2-3 gotas de copaíba,2-3 gotas de copaiba
522,2-3 drops marjoram,2-3 gotas de manjerona,2-3 gotas de mejorana
526,9 drops ClaryCalm®,9 gotas de ClaryCalm®,9 gotas de ClaryCalm®
527,9 drops lavender,9 gotas de lavanda,9 gotas de lavanda
528,12 drops tangerine,12 gotas de tangerina,12 gotas de mandarina
533,5 drops Slim & Sassy®,5 gotas de Slim & Sassy®,5 gotas de Slim & Sassy®
534,3 drops Zendocrine®,3 gotas de Zendocrine®,3 gotas de Zendocrine®
535,1-2 capsules TerraZyme®,1-2 cápsulas de TerraZyme®,1-2 cápsulas de TerraZyme®
538,TrimShake®,TrimShake®,TrimShake®
539,TrimShake® Vegan,TrimShake® Vegano,TrimShake® vegano
543,30 drops grapefruit,30 gotas de toranja,30 gotas de toronja
546,20 drops peppermint,20 gotas de hortelã-pimenta,20 gotas de menta
547,10 drops bergamot,10 gotas de bergamota,10 gotas de bergamota
548,4 drops spearmint,4 gotas de hortelã,4 gotas de hierbabuena
550,15 drops basil,15 gotas de manjericão,15 gotas de albahaca
551,15 drops marjoram,15 gotas de manjerona,15 gotas de mejorana
554,1-3 drops grapefruit,1-3 gotas de toranja,1-3 gotas de toronja
555,1-3 drops kumquat,1-3 gotas de laranja quincã,1-3 gotas de quinoto
561,1 teaspoon carrier oil,1 colher de chá de óleo carreador,1 cucharadita de aceite portador
562,1-2 drops grapefruit,1-2 gotas de toranja,1-2 gotas de toronja
567,7 drops bergamot,7 gotas de bergamota,7 gotas de bergamota
568,7 drops grapefruit,7 gotas de toranja,7 gotas de toronja
569,5 drops blue tansy,5 gotas de tanaceto azul,5 gotas de tanaceto azul
570,5 drops wild orange,5 gotas de laranja lima,5 gotas de naranja silvestre
571,5 drops ylang ylang,5 gotas de ylang ylang,5 gotas de ylang ylang
572,12 drops lemon,12 gotas de limão siciliano,12 gotas de limón
574,4 drops cypress,4 gotas de cipreste,4 gotas de ciprés
576,7 drops green mandarin,7 gotas de mandarina verde,7 gotas de mandarina verde
578,7 drops Serenity®,7 gotas de Serenity®,7 gotas de Serenity®
579,7 drops Roman chamomile,7 gotas de camomila romana,7 gotas de manzanilla romana
581,5 drops Serenity®,5 gotas de Serenity®,5 gotas de Serenity®
583,7 drops wild orange,7 gotas de laranja lima,7 gotas de naranja silvestre
584,8 drops lavender (OR Serenity®),8 gotas de lavanda (OU Serenity®),8 gotas de lavanda (o Serenity®)
586,2 drops ylang ylang,2 gotas de ylang ylang,2 gotas de ylang ylang
588,10 drops Balance®,10 gotas de Balance®,10 gotas de Balance®
590,1 drop spearmint,1 gota de hortelã,1 gota de hierbabuena
591,1 drop neroli,1 gota de néroli,1 gota de neroli
592,9 drops sandalwood,9 gotas de sândalo,9 gotas de sándalo
595,10 drops Citrus Bliss®,10 gotas de Citrus Bliss®,10 gotas de Citrus Bliss®
596,10 drops Deep Blue®,10 gotas de Deep Blue®,10 gotas de Deep Blue®
597,3 drops Serenity®,3 gotas de Serenity®,3 gotas de Serenity®
599,2 drops PastTense®,2 gotas de PastTense®,2 gotas de PastTense®
600,4 drops Serenity®,4 gotas de Serenity®,4 gotas de Serenity®
601,4 drops PastTense®,4 gotas de PastTense®,4 gotas de PastTense®
602,4 drops ginger,4 gotas de gengibre,4 gotas de jengibre
603,6 drops wild orange,6 gotas de laranja lima,6 gotas de naranja silvestre
607,5 drops patchouli,5 gotas de patchouli,5 gotas de pachuli
610,20 drops Serenity®,20 gotas de Serenity®,20 gotas de Serenity®
611,10 drops vetiver,10 gotas de vetiver,10 gotas de vetiver
613,3 drops juniper berry,3 gotas de bagas zimbro,3 gotas de enebro
614,3 drops Balance®,3 gotas de Balance®,3 gotas de Balance®
615,3 drops vetiver,3 gotas de vetiver,3 gotas de vetiver
616,3 drops patchouli,3 gotas de patchouli,3 gotas de pachuli
621,1 drop cedarwood,1 gota de cedro,1 gota de cedro
626,8 drops Serenity®,8 gotas de Serenity®,8 gotas de Serenity®
629,1-3 drops Balance®,1-3 gotas de Balance®,1-3 gotas de Balance®
630,1-3 drops Serenity®,1-3 gotas de Serenity®,1-3 gotas de Serenity®
631,3 drops DDR Prime®,3 gotas de DDR Prime®,3 gotas de DDR Prime®
635,1 drop copaiba,1 gota de copaíba,1 gota de copaiba
636,3 drops frankincense,3 gotas de olíbano,3 gotas de incienso
638,1 tbsp jojoba oil,1 colher de sopa de óleo de jojoba,1 cdta. de aceite de jojoba
641,5 drops peppermint,5 gotas de hortelã-pimenta,5 gotas de menta
643,"6-7 drops Slim & Sassy® (includes lemon, grapefruit, ginger, and cinnamon)","6-7 gotas de Slim & Sassy® (inclui limão siciliano, toranja, gengibre e canela)","6-7 gotas de Slim & Sassy® (incluye limón, toronja, jengibre y canela)"
644,Micoplex VMz®,Micoplex VMz®,Micoplex VMz®
666,1 tbsp fractionated coconut oil,1 colher de sopa de óleo de coco fracionado,1 cdta. de aceite de coco fraccionado
671,3-5 drops favorite citrus oil,3-5 gotas do óleo cítrico favorito,3-5 gotas de aceite del cítrico favorito
673,Helichrysum (or lemongrass),Immortelle (ou capim limão),Helicriso (o lemongrass)
676,Deep Blue® (or wintergreen or birch),Deep Blue® (ou wintergreen ou bétula),Deep Blue® (o gaulteria o abedul)
678,Clove (or thyme),Cravo (ou tomilho),Clavo (o tomillo)
