id,description,Spanish,Portuguese
1,Dilute if irritation occurs.,Diluya en caso de irritación.,Diluir se ocorrer irritação.
2,Safe for NEAT application.,Aplicación segura en estado PURO.,Seguro para aplicação NEAT.
13,"Possible skin sensitivity. Keep out of reach of children. If you are pregnant, nursing, or under a doctor’s care, consult your physician. Avoid contact with eyes, inner ears, and sensitive areas. May stain surfaces, fabrics, and skin.","Posible sensibilidad de la piel. Mantenga este medicamento fuera del alcance de los niños. Si está embarazada, amamantando o bajo el cuidado de un médico‰Ûª, consulte a su médico. Evite el contacto con los ojos, el oído interno y las zonas sensibles. Puede manchar superficies, telas y la piel.","Possível sensibilidade da pele. Mantenha longe do alcance de crianças. Se estiver grávida, amamentando ou sob os cuidados de um médico, consulte seu médico. Evite o contato com os olhos, ouvidos internos e áreas sensíveis. Pode manchar superfícies, tecidos e pele."
14,"Possible skin sensitivity.
Keep out of reach of
children. If you are
pregnant, nursing, or
under a doctor's care,
consult your physician.
Avoid contact with
eyes, inner eyes, and
sensitive areas.","Posible sensibilidad de la piel. Mantenga este medicamento fuera del alcance de los niños. Si está embarazada, amamantando o bajo el cuidado de un médico, consulte a su médico. Evite el contacto con los ojos, el interior de los ojos y las zonas sensibles.","Possível sensibilidade da pele. Mantenha longe do alcance de crianças. Se estiver grávida, amamentando ou sob os cuidados de um médico, consulte seu médico. Evite o contato com os olhos, ouvidos internos e áreas sensíveis."
15,"Dilute for skin sensitivity. If pregnant or nursing, consult your physician. Avoid exposure to direct sunlight or UV rays for up to 12 hours after topical use.","Diluya para la sensibilidad de la piel. Si está embarazada o amamantando, consulte a su médico. Evite la exposición a la luz solar directa o a los rayos UV hasta 12 horas después del uso tópico.","Diluir para sensibilidade da pele. Se estiver grávida ou amamentando, consulte seu médico. Evite exposição a luz solar direta ou aos raios UV até'12 horas depois do uso tópico."
16,"Dilute for topical application. Can cause skin irritation. To reduce liver stress, use with detoxification blend, helichrysum, cumin, or Roman chamomile.<br>","Diluya para su aplicación tópica. Puede causar irritación de la piel. Para reducir el estrés hepático, úselo con una mezcla de desintoxicación, helicriso, comino o manzanilla romana.<br>","Dilua para aplicação tópica. Pode causar irritação da pele. Para reduzir o estresse hepático, use com um mix de desintoxicação, helichrysum, cominho ou camomila romana."
18,Dilution recommended. Possible skin sensitivity. Caution with pregnancy and epilepsy.,Se recomienda diluir. Posible sensibilidad de la piel. Precaución con el embarazo y la epilepsia.,A diluição é recomendada. Possível sensibilidade da pele. Cuidado com gravidez e epilepsia.
19,Possible skin sensitivity. Avoid sunlight or UV rays to applied area for 12 hours.,Posible sensibilidad de la piel. Evite la luz del sol o los rayos UV en el área aplicada durante 12 horas.,Possível sensibilidade da pele. Evite luz solar ou raios UV na área aplicada por 12 horas.
20,Not for internal use. Avoid during pregnancy. Not for use by epileptics.,No es para uso interno. Evite su uso durante el embarazo. No es para uso de epilépticos.,Não deve ser feito uso interno. Evitar durante gravidez. Não deve ser usado por epilépticos.
22,"Can be harmful to small animals. Possible skin sensitivity. May stain surfaces, fabrics and skin.","Puede ser perjudicial para los animales pequeños. Posible sensibilidad de la piel. Puede manchar superficies, telas y la piel.","Pode ser prejudicial para animais de pequeno porte. Possível sensibilidade da pele. Pode manchar superfícies, tecidos e pele."
24,Dilution recommended. Possible skin sensitivity. Can reduce milk supply in lactating women.,Se recomienda diluir. Posible sensibilidad de la piel. Puede reducir la producción de leche en las mujeres lactantes.,A diluição é recomendada. Possível sensibilidade da pele. Pode reduzir a produção de leite em mulheres lactantes.
25,Dilution recommended. Possible skin sensitivity.,Se recomienda diluir. Posible sensibilidad de la piel.,A diluição é recomendada. Possível sensibilidade da pele.
27,Caution during earlier stages of pregnancy.,Precaución durante las primeras etapas del embarazo.,Cuidado durante os estágios iniciais da gravidez.
28,"Dilution recommended. Possible skin sensitivity. To reduce liver stress, use with detoxification blend, helichrysum, cumin, green mandarin, geranium, or Roman chamomile.","Se recomienda diluir. Posible sensibilidad de la piel. Para reducir el estrés hepático, úselo con una mezcla de desintoxicación, helicriso, comino, mandarina verde, geranio o manzanilla romana.","A diluição é recomendada. Possível sensibilidade da pele. Para reduzir o estresse hepático, use com um mix de desintoxicação, helichrysum, cominho, tangerina verde, gerânio ou camomila romana."
32,Not for internal use.,No es para uso interno.,Não deve ser feito uso interno.
33,Dilution recommended. Possible skin sensitivity. Not for internal use.,Se recomienda dilución. Posible sensibilidad de la piel. No es para uso interno.,A diluição é recomendada. Possível sensibilidade da pele. Não deve ser feito uso interno.
34,Dilution recommended. Possible skin sensitivity. Caution during pregnancy and with children under 5 years old. Not for use with epileptics.,Se recomienda diluir. Posible sensibilidad de la piel. Precaución durante el embarazo y con niños menores de 5 años. No usar con epilépticos.,A diluição é recomendada. Possível sensibilidade da pele. Cuidado durante gravidez e com crianças menores de 5 anos. Não deve ser usado por epilépticos.
37,Avoid exposure to sunlight or UV rays for 12 hours after application.,Evite la exposición a la luz solar o a los rayos UV durante 12 horas después de la aplicación.,Evite exposição a luz solar ou aos raios UV por 12 horas após aplicação.
40,Safe for NEAT application. When in doubt use lavender!,"Aplicación segura en estado PURO. En caso de duda, ¡utilice la lavanda!","Seguro para aplicação NEAT. Quando tiver dúvida, use lavanda!"
49,"Because of its stimulating properties, avoid use at bedtime. Dilution recommended. Possible skin sensitivity.","Por sus propiedades estimulantes, evite su uso a la hora de acostarse. Se recomienda diluir. Posible sensibilidad de la piel.","Devido a suas propriedades estimulantes, evite o uso na hora de dormir. A diluição é recomendada. Possível sensibilidade da pele."
55,"Caution with use with epileptics, during pregnancy and high blood pressure.","Precaución con el uso con epilépticos, durante el embarazo y la presión arterial alta.","Cuidado com o uso de epiléticos, durante a gravidez e pressão arterial alta."
59,"Dilution recommended. Possible skin sensitivity. May stain surfaces, fabric, and skin.","Se recomienda diluir. Posible sensibilidad de la piel. Puede manchar superficies, tela y la piel.","A diluição é recomendada. Possível sensibilidade da pele. Pode manchar superfícies, tecido e pele."
60,Safe for NEAT application. Avoid exposure to sunlight or UV rays for up to 12 hours after application.,Aplicación segura en estado PURO. Evite la exposición a la luz solar o a los rayos UV hasta 12 horas después de la aplicación.,Seguro para aplicação NEAT. Evitar exposição a luz do sol ou raios UV por até 12 horas após aplicação.
73,Dilution recommended. Possible skin sensitivity. Avoid exposure to sunlight or UV rays for 12 hours after application.,Se recomienda diluir. Posible sensibilidad de la piel. Evite la exposición a la luz solar o a los rayos UV durante 12 horas después de la aplicación.,A diluição é recomendada. Possível sensibilidade da pele. Evite exposição a luz solar ou aos raios UV por 12 horas após aplicação.
76,Safe for NEAT application. Possible skin sensitivity.,Aplicación segura en estado PURO. Posible sensibilidad de la piel.,Seguro para aplicação NEAT. Possível sensibilidade da pele.
79,"Safe for use by women, teens and men. Pregnant or lactating women should consult a physician or healthcare provider before use.","Seguro para mujeres, adolescentes y hombres. Las mujeres embarazadas o en período de lactancia deben consultar a un médico o profesional de la salud antes de su uso.","Seguro para usar por mulheres, adolescentes e homens. Mulheres grávidas ou lactantes devem consultar um médico ou profissional de saúde antes de usar."
80,"Not for small children. If pregnant or lactating, women should consult a physician or health care provider before use.","No para niños pequeños. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o a un profesional de la salud antes de su uso.","Não deve ser usado por crianças pequenas. Se estiver grávida ou amamentando, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
81,"For men, women and teens. Pregnant or lactating women should consult a physician or health care provider before use.","Para hombres, mujeres y adolescentes. Las mujeres embarazadas o en período de lactancia deben consultar a un médico o a un profesional de la salud antes de su uso.","Para homens, mulheres e adolescentes. Mulheres grávidas ou lactantes devem consultar um médico ou profissional de saúde antes de usar."
82,"No gluten, wheat, dairy, soy or nut products. Pregnant or lactating women should consult a physician or healthcare provider before use.","No contiene gluten, trigo, productos lácteos, soja o frutos secos. Las mujeres embarazadas o en período de lactancia deben consultar a un médico o profesional de la salud antes de su uso.","Sem produtos de glúten, trigo, laticínios, soja ou nozes. Mulheres grávidas ou lactantes devem consultar um médico ou profissional de saúde antes de usar."
83,For all ages. NOTE: Do not mix with hot water.,Para todas las edades. NOTA: No mezclar con agua caliente.,Para todas as idades. NOTA: Não misture com água quente.
84,"Not for children. Keep out of reach of small children. If pregnant or lactating, women should consult a physician or healthcare provider before use.","No es para niños. Mantenga este medicamento fuera del alcance de los niños pequeños. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o profesional de la salud antes de su uso.","Não deve ser usado por crianças. Mantenha fora do alcance de crianças pequenas. Se estiver grávida ou lactante, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
86,Can be taken by all ages that can swallow capsules. Keep out of reach of small children.,Puede ser tomado por cualquier edad que pueda tragar cápsulas. Mantenga este medicamento fuera del alcance de los niños pequeños.,Pode ser tomado por todas as idades que puderem engolir cápsulas. Mantenha fora do alcance de crianças pequenas.
88,"Can be taken by all ages that can swallow capsules. If pregnant or lactating, women should consult a physician or healthcare provider before use.","Puede ser tomado por cualquier edad que pueda tragar cápsulas. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o profesional de la salud antes de su uso.","Pode ser tomado por todas as idades que puderem engolir cápsulas. Se estiver grávida ou lactante, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
89,For all ages. Gluten-free and non-GMO. Vegan-friendly.,Para todas las edades. Sin gluten y sin OMG. Adecuado para veganos.,Para todas as idades. Sem glúten e sem transgênicos. Vegano.
90,"Keep out of reach of small children. If pregnant or lactating, women should consult a physician or health care provider before use.","Mantenga este medicamento fuera del alcance de los niños pequeños. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o a un profesional de la salud antes de su uso.","Mantenha fora do alcance de crianças pequenas. Se estiver grávida ou amamentando, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
91,"Keep out of reach of small children, keep refrigerated after opening.","Mantenga este medicamento fuera del alcance de los niños pequeños, manténgase refrigerado después de abrirlo.","Manter fora do alcance de crianças pequenas, manter refrigerado após aberto."
92,For all ages. Gluten-free and non-GMO.,Para todas las edades. Sin gluten y sin OMG.,Para todas as idades. Sem glúten e sem transgênicos.
96,"Not for children. Keep out of reach of small children. Okay for men and women. If pregnant or lactating, women should consult a physician or healthcare provider before use.","No es para niños. Mantenga este medicamento fuera del alcance de los niños pequeños. Adecuado para hombres y mujeres. En caso de embarazo o lactancia, las mujeres deben consultar a un médico o profesional de la salud antes de su uso.","Não deve ser usado por crianças. Mantenha fora do alcance de crianças pequenas. Seguro para homens e mulheres. Se estiver grávida ou lactante, as mulheres devem consultar um médico ou profissional de saúde antes de usar."
98,"Be aware when using with small children, who can be prone to choking.","Tenga cuidado al usarlo con niños pequeños, que pueden ser propensos a atragantarse.","Esteja atento a crianças pequenas, que são propensas a engasgar."
101,"Keep out of reach of children. If you are pregnant, nursing, or under a doctor’s care, consult your physician.","Mantenga este medicamento fuera del alcance de los niños. En caso de estar embarazada, amamantando o bajo el cuidado de un médico‰Ûª, consulte a su médico.","Mantenha longe do alcance de crianças. Se estiver grávida, amamentando ou sob os cuidados de um médico, consulte seu médico."
103,Can be taken by all ages that can swallow capsules.,Puede ser tomado por cualquier edad que pueda tragar cápsulas.,Pode ser tomado por todas as idades que puderem engolir cápsulas.
104,The essential oil does not have the same skin-coloring and fabric staining properties or warning as powdered form. Can be toxic to plants.,El aceite esencial no presenta las mismas propiedades o advertencias de coloración de la piel y manchado de telas que la presentación en polvo. Puede ser tóxico para las plantas.,O óleo essencial não possui a mesma coloração da pele e propriedades de manchas de tecido ou aviso que a forma em pó. Pode ser tóxico para plantas.
105,Dilution recommended. Safe for Neat application.,Se recomienda diluir. Aplicación segura en estado PURO.,A diluição é recomendada. Seguro para aplicação de Neat.
106,"Dilution not required. Possible skin sensitivity. To reduce liver stress, use with detoxification blend, helichrysum, cumin, green mandarin, geranium, or Roman chamomile.","No se requiere diluir. Posible sensibilidad de la piel. Para reducir el estrés hepático, úselo con una mezcla de desintoxicación, helicriso, comino, mandarina verde, geranio o manzanilla romana.","Não é necessário diluir. Possível sensibilidade da pele. Para reduzir o estresse hepático, use com um mix de desintoxicação, helichrysum, cominho, tangerina verde, gerânio ou camomila romana."