id,created_at,updated_at,name,description,sort_order,solutionable_id,solutionable_type,Spanish,Portuguese
8,8/29/18 22:03,12/6/18 14:05,Grapefruit,"Dissipates cravings; supports detoxification, renewed energy.",0,35,App\Oil,Elimina los antojos; promueve la desintoxicación y la energía renovada.,"Dissipa os desejos compulsivos; auxilia a desintoxicação, energia renovada."
10,8/29/18 22:09,12/6/18 14:05,Basil,Clears negative thought patterns that block change; restores mental energy.,0,11,App\Oil,Elimina los patrones de pensamiento negativo que bloquean el cambio; restaura la energía mental.,Elimina padrões de pensamentos negativos que bloqueiam a mudança; restaura a energia mental.
11,8/29/18 22:09,12/6/18 14:05,Bergamot,Gives a sense of empowerment and self-worth.,0,12,App\Oil,Brinda una sensación de autosuficiencia y autoestima.,Dá sentido de poder e auto-estima.
12,8/29/18 22:10,12/6/18 14:05,Peppermint,"Supports sense of buoyancy and recovery, reprieve from painful emotions.",0,52,App\Oil,"Promueve el sentido de optimismo y recuperación, un descanso de emociones dolorosas.","Auxilia a sensação de flutuabilidade espiritual e recuperação, alívio de emoções dolorosas."
13,8/29/18 22:11,12/6/18 10:01,Serenityå¨,"Promotes calm, peaceful, tranquil state of being; quiets the mind.",0,26,App\Blend,"Promueve un estado de calma, paz y tranquilidad; calma la mente.","Promove um estado de serenidade, calmo, pacífico e tranquilo; acalma a mente."
14,8/29/18 22:12,12/6/18 10:01,Zendocrineå¨,"Promotes elimination, detoxification of toxins.",0,11,App\Blend,Promueve la eliminación y desintoxicación de toxinas.,"Promove a eliminação, a desintoxicação de toxinas."
15,8/29/18 22:12,12/6/18 10:01,Motivateå¨,"Promotes self-belief, confidence, trust.",0,13,App\Blend,"Promueve la confianza en sí mismo, la confianza y fiabilidad","Promove autoconfiança, convicção, esperança."
16,8/29/18 22:13,12/6/18 10:01,Balanceå¨,Restores a sense of solidity/feeling grounded in life.,0,15,App\Blend,Restaura una sensación de solidez o una sensación de tener los pies en la tierra.,Restaura a sensação de solidez/sentindo-se fundamentado na vida
17,8/29/18 22:13,12/6/18 10:01,Purify,Cleanses and detoxifies.,0,9,App\Blend,Limpia y desintoxica.,Limpa e desintoxica
20,8/29/18 22:15,12/6/18 14:05,Lemon,Decongests and reduces mucus.,0,40,App\Oil,Descongestiona y reduce la cantidad de moco.,Descongestiona e reduz o muco
21,8/29/18 22:16,12/6/18 14:05,Peppermint,Discharges phlegm and reduces inflammation.,0,52,App\Oil,Expulsa la flema y reduce la inflamación.,Libera a fleuma e reduz a inflamação.
22,8/29/18 22:16,12/6/18 10:01,Breatheå¨,Supports reduction and recovery from allergic responses.,0,25,App\Blend,Promueve la reducción y recuperación de las reacciones alérgicas.,Auxilia a redução e recuperação de respostas alérgicas.
23,8/29/18 22:17,12/6/18 10:01,Zendocrineå¨,Supports permanent reduction of reactivity.,0,11,App\Blend,Promueve la reducción permanente de la reactividad.,Auxilia a redução permanente de reatividade.
24,8/29/18 22:17,12/6/18 10:01,Purify,Alleviates allergic responses to bites and stings.,0,9,App\Blend,Alivia las reacciones alérgicas a las mordeduras y picaduras.,Alivia as reações alérgicas a mordidas e picadas.
25,8/29/18 22:18,12/6/18 10:01,DigestZenå¨,Supports digestion to calm food allergy responses.,0,12,App\Blend,Fortalece la digestión para calmar las reacciones alérgicas a los alimentos.,Auxilia a digestão para acalmar respostas a alergias alimentares.
26,8/29/18 22:18,12/6/18 10:01,On Guardå¨,Supports immune system.,0,21,App\Blend,Fortalece el sistema inmunológico.,Auxilia o sistema imunológico.
27,8/29/18 22:19,12/6/18 10:01,Serenityå¨,Acts as an antihistamine.,0,26,App\Blend,Actúa como un antihistamínico,Age como um anti-histamínico.
28,8/29/18 22:59,12/6/18 14:05,Peppermint,Pre-exercise support.,0,52,App\Oil,Refuerzo para antes del ejercicio.,Apoio pré-exercício.
29,8/29/18 22:59,12/6/18 14:05,Lemongrass,Connective tissue support.,0,41,App\Oil,Refuerzo del tejido conectivo.,Apoio do tecido conjuntivo.
30,8/29/18 23:00,12/6/18 14:05,Marjoram,Muscle support.,0,44,App\Oil,Refuerzo muscular.,Apoio muscular.
32,8/29/18 23:09,12/6/18 14:05,Lemongrass,Stimulates nerves and supports digestion.,0,41,App\Oil,Estimula los nervios y fortalece la digestión.,Estimula os nervos e auxilia a digestão.
33,8/29/18 23:09,12/6/18 14:05,Juniper Berry,Antioxidant and supports digestion.,0,38,App\Oil,Antioxidante y fortalece la digestión.,Antioxidante e auxilia na digestão.
34,8/29/18 23:10,12/6/18 14:05,Copaiba,"Anti-inflammatory, anti-infectious, pain reliever.",0,25,App\Oil,"Antiinflamatorio, anti-infeccioso, analgésico.","Anti-inflamatório, anti-infeccioso, analgésico"
35,8/29/18 23:10,12/6/18 14:05,Ginger,Invigorates nerves and cleanses.,0,34,App\Oil,Revitaliza los nervios y purifica.,Revigora os nervos e limpa.
36,8/29/18 23:11,12/6/18 14:05,Clary Sage,Invigorates nerves and supports endocrine system.,0,22,App\Oil,Revitaliza los nervios y fortalece el sistema endocrino.,Revigora os nervos e auxilia o sistema endócrino.
37,8/29/18 23:12,12/6/18 14:05,Turmeric,Antioxidant and anti-inflammatory.,0,63,App\Oil,Antioxidante y antiinflamatorio.,Antioxidante e anti-inflamatório.
38,8/29/18 23:12,12/6/18 10:01,DDR Primeå¨,Supports nerves and glands.,0,8,App\Blend,Fortalece los nervios y las glándulas.,Auxilia nervos e glândulas.
39,8/29/18 23:13,12/6/18 10:01,Zendocrineå¨,Detoxifies and supports proper digestive function.,0,11,App\Blend,Desintoxica y refuerza la función digestiva adecuada.,Desintoxica e auxilia a função digestiva adequada.
40,8/29/18 23:13,12/6/18 10:01,Slim & Sassyå¨,Antioxidant and improves digestion.,0,20,App\Blend,Antioxidante y mejora la digestión.,Antioxidante e melhora a digestão.
41,8/29/18 23:16,12/6/18 14:05,Coriander,Promotes a healthy insulin response.,0,26,App\Oil,Promueve una respuesta saludable a la insulina.,Promove uma resposta saudável à insulina.
42,8/29/18 23:16,12/6/18 14:05,Cassia,Balances blood sugar levels.,0,17,App\Oil,Equilibra los niveles de azúcar en la sangre.,Equilibra os níveis de açúcar no sangue.
44,8/29/18 23:20,12/6/18 10:01,Slim & Sassyå¨,Helps control blood sugar.,0,20,App\Blend,Ayuda a controlar el azúcar en la sangre.,Ajuda a controlar o açúcar no sangue.
45,8/29/18 23:22,12/6/18 10:01,Zendocrineå¨,Improves insulin receptivity.,0,11,App\Blend,Mejora la receptividad a la insulina.,Melhora a receptividade da insulina.
46,8/29/18 23:22,12/6/18 10:01,On Guardå¨,Balances blood sugar levels.,0,21,App\Blend,Equilibra los niveles de azúcar en la sangre.,Equilibra os níveis de açúcar no sangue.
47,8/29/18 23:26,12/6/18 14:05,Sandalwood,"Promotes optimal brain function, repair; crosses the blood-brain barrier.",0,57,App\Oil,Promueve la función y reparación óptima del cerebro; cruza la barrera hematoencefálica.,"Promove a função cerebral ideal, reparação; atravessa barreira hematoencefálica."
48,8/29/18 23:27,12/6/18 14:05,Frankincense,Crosses blood-brain barrier; anti-aging brain support.,0,32,App\Oil,Cruza la barrera hematoencefálica; promueve el anti-envejecimiento del cerebro.,Atravessa a barreira hematoencefálica; suporte cerebral antienvelhecimento.
50,8/29/18 23:29,12/6/18 14:05,Rosemary,"Enhances brain, cognitive performance; relieves mental fatigue.",0,56,App\Oil,Mejora el rendimiento cerebral y cognitivo; alivia la fatiga mental.,Melhora o desempenho cognitivo; alivia a fadiga mental.
52,8/29/18 23:31,12/6/18 14:05,Petitgrain,Calms and soothes the brain.,0,53,App\Oil,Calma y tranquiliza el cerebro.,Acalma e alivia o cérebro.
53,8/29/18 23:31,12/6/18 14:05,Turmeric,Brain protection and antioxidant.,0,63,App\Oil,Protección cerebral y antioxidante.,Proteção cerebral e antioxidante.
54,8/29/18 23:32,12/6/18 10:01,DDR Primeå¨,Provides antioxidants and brain protection.,0,8,App\Blend,Proporciona antioxidantes y protege al cerebro.,Fornece antioxidantes e proteção cerebral.
55,8/29/18 23:32,12/6/18 10:01,Zendocrineå¨,Supports relief from mental fatigue and toxins.,0,11,App\Blend,Promueve el alivio de la fatiga mental y las toxinas.,Auxilia o alívio da fadiga mental e toxinas.
56,8/29/18 23:33,12/6/18 10:01,InTuneå¨,"Supports oxygen and blood flow to the brain, blood-brain barrier.",0,14,App\Blend,Promueve el oxígeno y el flujo sanguíneo al cerebro y barrera hematoencefálica.,"Auxilia oxigênio e fluxo sanguíneo para o cérebro, barreira hematoencefálica."
57,8/30/18 0:19,12/6/18 14:05,Melaleuca,Eliminates candida yeast and prevents mutation.,0,45,App\Oil,Elimina la levadura Cándida y previene la mutación.,Elimina a levedura cândida e previne a mutação.
58,8/30/18 0:20,12/6/18 14:05,Oregano,Eliminates and prevents candida yeast and fungus.,0,50,App\Oil,Elimina y previene la levadura Cándida y los hongos.,Elimina e previne a cândida e fungos.
60,8/30/18 0:22,12/6/18 10:01,DDR Primeå¨,Restores the health of cells.,0,8,App\Blend,Restaura el estado de salud de las células.,Restaura a saúde das células.
61,8/30/18 0:23,12/6/18 10:01,Zendocrineå¨,Detoxifies and eliminates free radicals.,0,11,App\Blend,Desintoxica y elimina los radicales libres.,Desintoxica e elimina os radicais livres.
62,8/30/18 0:24,12/6/18 10:01,On Guardå¨,Helps eliminate candida/fungus.,0,21,App\Blend,Ayuda a eliminar la Cándida o los hongos.,Ajuda a eliminar cândida/fungo.
63,8/30/18 0:25,12/6/18 10:01,HD Clearå¨,Cleanses skin.,0,27,App\Blend,Limpia la piel.,Limpa a pele.
64,8/30/18 0:28,12/6/18 14:05,Cypress,Promotes proper circulation and blood flow throughout the body.,0,27,App\Oil,Promueve la circulación adecuada y el flujo sanguíneo en todo el cuerpo.,Promove a circulação adequada e o fluxo sanguíneo por todo o corpo.
65,8/30/18 0:29,12/6/18 14:05,Ylang Ylang,Balances heart rate and reduces high blood pressure.,0,68,App\Oil,Equilibra la frecuencia cardíaca y reduce la presión arterial alta.,Equilibra a frequência cardíaca e reduz a pressão arterial elevada.
66,8/30/18 0:29,12/6/18 14:05,Marjoram,Supports the heart muscle.,0,44,App\Oil,Apoya el músculo cardíaco.,Auxilia o músculo cardíaco.
68,8/30/18 0:31,12/6/18 14:05,Black Pepper,Warms and tones blood vessels; decongests circulatory/lymphatic.,0,14,App\Oil,Calienta y tonifica los vasos sanguíneos; descongestiona el sistema circulatorio o linfático.,Aquece e tonifica os vasos sanguíneos; descongestiona o sistema circulatório/linfático.
69,8/30/18 0:32,12/6/18 14:05,Geranium,"Supports heart, blood, and blood vessel integrity.",0,33,App\Oil,"Fortalece la integridad del corazón, la sangre y los vasos sanguíneos.","Auxilia o coração, sangue e vasos sanguíneos."
70,8/30/18 0:33,12/6/18 10:01,Purify,Decongests circulatory/lymphatic congestion.,0,9,App\Blend,Descongestiona el sistema circulatorio o linfático.,Descongestiona o acúmulo circulatório/linfático.
71,8/30/18 0:33,12/6/18 10:01,Passionå¨,Promotes healthy blood flow.,0,16,App\Blend,Promueve un flujo sanguíneo saludable.,Promove um fluxo sanguíneo saudável.
72,8/30/18 0:34,12/6/18 10:01,AromaTouchå¨,"Stimulates circulation and blood flow, especially to extremities.",0,19,App\Blend,"Estimula la circulación y el flujo sanguíneo, especialmente en las extremidades.","Estimula a circulação e o fluxo sanguíneo, especialmente para as extremidades."
73,8/30/18 0:38,12/6/18 14:05,Turmeric,Cellular health and antioxidant.,0,63,App\Oil,Salud celular y antioxidante.,Saúde celular e antioxidante.
75,8/30/18 0:39,12/6/18 14:05,Lemongrass,Cellular detoxifier.,0,41,App\Oil,Desintoxicante celular.,Desintoxicante celular.
76,8/30/18 0:39,12/6/18 14:16,Tangerine,Encourages healthy dna and optimal glutathione levels.,0,61,App\Oil,Promueve el ADN saludable y los niveles óptimos de glutatión.,Estimula o DNA saudável e os níveis excelentes de glutationa.
77,8/30/18 0:41,12/6/18 14:15,Patchouli,Supports the cell in eliminating harmful toxins.,0,51,App\Oil,Refuerza a las células en la eliminación de toxinas dañinas.,Auxilia a célula na eliminação de toxinas prejudiciais.
78,8/30/18 0:42,12/6/18 14:05,Clove,Powerful antioxidant; supports cellular repair.,0,24,App\Oil,Potente antioxidante; promueve la reparación celular.,Poderoso antioxidante; auxilia a reparação celular.
79,8/30/18 0:42,12/6/18 14:05,Thyme,Cellular health and dna repair.,0,62,App\Oil,Salud celular y reparación del ADN.,Saúde celular e reparação do DNA.
80,8/30/18 0:43,12/6/18 14:05,Arborvitae,Stimulates immune support and cellular repair.,0,10,App\Oil,Estimula el sistema inmunológico y la reparación celular.,Estimula o suporte imunológico e a reparação celular
81,8/30/18 0:45,12/6/18 10:01,NULL,Promotes cellular health and dna repair.,0,0,App\Blend,Promueve la salud celular y la reparación del ADN.,Promove a saúde celular e reparação do DNA.
82,8/30/18 0:45,12/6/18 10:01,Zendocrineå¨,Helps eliminate free radicals and heavy metals.,0,11,App\Blend,Ayuda a eliminar radicales libres y metales pesados.,Ajuda a eliminar os radicais livres e metais pesados.
83,8/30/18 0:47,12/6/18 10:01,Cheerå¨,Antioxidant; neutralizes free radicals and supports cells.,0,30,App\Blend,Antioxidante; neutraliza los radicales libres y fortalece la salud de las células.,Antioxidante; neutraliza os radicais livres e auxilia as células.
84,8/30/18 0:48,12/6/18 10:01,Purify,Detoxifies cells and lymphatic system.,0,9,App\Blend,Desintoxica las células y el sistema linfático.,Dsintoxica as células e o sistema linfático.
85,8/30/18 0:53,12/6/18 14:05,Lavender,Most used essential oil for children; all things calming.,0,39,App\Oil,Aceite esencial más utilizado para los niños; todo lo que tranquilice.,Mais usado para crianças; todas as coisas calmantes.
86,8/30/18 0:55,12/6/18 14:05,Wild Orange,Gentle/powerful calming/uplifting; digestive support; boost immune/anti-infectious; promotes sense of abundance ‰ÛÏthere is enough for me! ‰Û.,0,65,App\Oil,"Suave, potente calmante, estimulante; apoyo digestivo; aumenta el sistema inmunitario o antiinfeccioso; promueve el sentido de la abundancia ‰ÛÏ¡Es suficiente para mi! ‰Û.",Suave/poderoso calmante/edificante; suporte digestivo; impulsionar a imunidade/anti-infeccioso; promove sensação de abundância ‰Ûhá o suficiente para mim! ‰Û.
87,8/30/18 0:56,12/6/18 14:05,Frankincense,"Supports brain, mood, wound healing, feeling grounded and safe/secure.",0,32,App\Oil,"Fortalece el cerebro, el estado de ánimo, la cicatrización de heridas, y el sentirse centrado y seguro o protegido.","Auxilia o cérebro, humor, cicatrização de feridas, sentir-se aterrado e seguro/protegido."
88,8/30/18 0:57,12/6/18 14:05,Roman Chamomile,Supports sense of calm/relaxation; sedative effect; diffuses agitated negative thoughts/moods; detoxifying.,0,55,App\Oil,Promueve una sensación de calma / relajación; efecto sedante; difunde pensamientos o estados de ánimo negativos agitados; desintoxicante.,Auxilia a sensação de calma/relaxamento; efeito sedativo; dispersa pensamentos negativos/humores agitados; desintoxicante.
89,8/30/18 0:58,12/6/18 10:01,Calmer‰ã¢,Supports a sense of peace and calm.,0,40,App\Blend,Promueve una sensación de paz y tranquilidad.,Apoia sensação de paz e tranquilidade.
90,8/30/18 0:58,12/6/18 10:01,Steady‰ã¢,Supports feeling grounded and stable.,0,38,App\Blend,Promueve el sentirse centrado y estable.,Auxilia a sensação de estar aterrada e estável.
91,8/30/18 0:59,12/6/18 10:01,DigestZenå¨,Supports digestion and elimination.,0,12,App\Blend,Fortalece la digestión y eliminación.,Auxilia a digestão e a eliminação.
92,8/30/18 1:00,12/6/18 10:01,Stronger‰ã¢,Boosts the immune system.,0,39,App\Blend,Refuerza el sistema inmunitario.,Estimula o sistema imunológico.
93,8/30/18 1:01,12/6/18 10:01,Thinker‰ã¢,Supports optimal focus and concentration.,0,37,App\Blend,Promueve un enfoque y concentración óptimos.,Auxilia o foco e a concentração ideais
95,8/30/18 5:10,12/6/18 14:05,Grapefruit,"Antioxidant; superb detoxifier of fat, liver, gallbladder.",0,35,App\Oil,"Antioxidante; excelente desintoxicante de grasa, hígado, vesícula biliar.","Antioxidante; excelente desintoxicante de gordura, fígado, vesícula biliar."
96,8/30/18 5:11,12/6/18 14:05,Lemon,"Antioxidant; superb detoxifier of fat, chemicals, urinary, liver, lymph.",0,40,App\Oil,"Antioxidante; excelente desintoxicante de grasas, productos químicos, vías urinarias, hígado, sistema linfático.","Antioxidante; excelente desintoxicante de gordura, produtos químicos, urinário, fígado, linfa."
97,8/30/18 5:11,12/6/18 14:05,Lemongrass,Powerhouse decongestant for any system of the body.,0,41,App\Oil,Descongestionante potente para cualquier sistema del cuerpo.,Descongestionante de potência para qualquer sistema do corpo.
98,8/30/18 5:12,12/6/18 14:05,Clove,"Powerful antioxidant, blood and cellular cleanser.",0,24,App\Oil,"Antioxidante potente, limpiador de sangre y celular.","Poderoso antioxidante, limpador de sangue e celular."
99,8/30/18 5:12,12/6/18 10:01,Zendocrineå¨,"Detox liver, gallbladder, gut, kidneys, lungs, skin.",0,11,App\Blend,"Desintoxica el hígado, la vesícula biliar, el intestino, los riñones, los pulmones y la piel.","Desintoxicação do fígado, vesícula biliar, intestino, rins, pulmões, pele."
100,8/30/18 5:12,12/6/18 10:01,Purify,"Detox lymph, blood, kidneys, skin.",0,9,App\Blend,"Desintoxica el sistema linfático, la sangre, los riñones y la piel.","Desintoxica linfa, sangue, rins, pele."
101,8/30/18 5:13,12/6/18 10:01,DDR Primeå¨,"Detox lymph, cells, gut, brain.",0,8,App\Blend,"Desintoxica el sistema linfático, las células, el intestino y el cerebro.","Desintoxica linfa, células, intestino, cérebro."
102,8/30/18 5:13,12/6/18 10:01,Slim & Sassyå¨,"Detox fat, liver, gallbladder.",0,20,App\Blend,"Desintoxica la grasa, el intestino y la vesícula biliar.","Desintoxicação de gordura, fígado, vesícula biliar."
109,8/30/18 5:20,12/6/18 10:01,DigestZenå¨,Supports digestion and elimination.,0,12,App\Blend,Fortalece la digestión y eliminación.,Auxilia a digestão e a eliminação.
110,8/30/18 5:20,12/6/18 10:01,Slim & Sassyå¨,"Upports stomach, intestines, pancreas, liver, gallbladder, fat digestion and satiation.",0,20,App\Blend,"Fortalece el estómago, los intestinos, el páncreas, el hígado, la vesícula biliar, la digestión de grasa y la saciedad.","Auxilia o estômago, intestinos, pâncreas, fígado, vesícula biliar, digestão de gordura e saciedade."
111,8/30/18 5:21,12/6/18 10:01,AromaTouchå¨,Supports peristalsis and bowel tone.,0,19,App\Blend,Fortalece la peristalsis y la tonalidad del intestino.,Auxilia o peristaltismo e o tônus intestinal.
112,8/30/18 5:21,12/6/18 10:01,Zendocrineå¨,"Supports gallbladder, liver, and pancreas.",0,11,App\Blend,"Fortalece la vesícula biliar, el hígado y el páncreas.","Auxilia a vesícula biliar, fígado e pâncreas."
113,8/30/18 5:25,12/6/18 14:05,Grapefruit,Helps heal the relationship with the body and curb emotional eating.,0,35,App\Oil,Ayuda a sanar la relación con el cuerpo y frenar la alimentación emocional.,Ajuda a curar o relacionamento com o corpo e a conter a fome emocional.
114,8/30/18 5:26,12/6/18 14:05,Patchouli,Supports restoring connection to and acceptance of body.,0,51,App\Oil,Promueve la restauración de la conexión y la aceptación del cuerpo.,Auxilia a restaurar a conexão e aceitação do corpo.
115,8/30/18 5:26,12/6/18 14:05,Bergamot,Balances hormones and promotes sense of self-worth.,0,12,App\Oil,Equilibra las hormonas y promueve el sentido de autoestima.,Equilibra os hormônios e promove senso de autoestima.
116,8/30/18 5:27,12/6/18 10:01,Slim & Sassyå¨,Balances metabolism and insulin.,0,20,App\Blend,Equilibra el metabolismo y la insulina.,Equilibra metabolismo e insulina.
117,8/30/18 5:28,12/6/18 10:01,Balanceå¨,Balances emotions and promotes a feeling of tranquility.,0,15,App\Blend,Equilibra las emociones y promueve una sensación de tranquilidad.,Equilibra as emoções e promove uma sensação de tranquilidade.
118,8/30/18 5:28,12/6/18 10:01,Purify,Encourages release of toxic emotions.,0,9,App\Blend,Estimula la liberación de emociones tóxicas.,Estimula a liberação de emoções tóxicas.
122,8/30/18 5:31,12/6/18 14:05,Rosemary,Stimulates glands and brain function; adrenal support.,0,56,App\Oil,Estimula las glándulas y la función cerebral; apoyo suprarrenal.,Estimula as glândulas e a função cerebral; suporte adrenal.
123,8/30/18 5:31,12/6/18 10:01,DDR Primeå¨,Nerve repair; glandular support.,0,8,App\Blend,Reparación de nervios; apoyo glandular.,Reparação nervosa; suporte glandular.
124,8/30/18 5:31,12/6/18 10:01,Zendocrineå¨,Adrenal and glandular support.,0,11,App\Blend,Apoyo suprarrenal y glandular.,Suporte adrenal e glandular.
125,8/30/18 5:32,12/6/18 10:01,ClaryCalmå¨,Glandular support and mood stabilizer.,0,31,App\Blend,Apoyo glandular y estabilizador del estado de ánimo.,Suporte glandular e estabilizador de humor.
126,8/30/18 5:33,12/6/18 14:05,Basil,Stimulating and reviving.,0,11,App\Oil,Estimulante y reactivante.,Estimular e reanimar.
127,8/30/18 5:34,12/6/18 14:05,Peppermint,Invigorating and energizing.,0,52,App\Oil,Tonificante y energizante.,Revigorar e energizar.
128,8/30/18 5:34,12/6/18 14:05,Wild Orange,Uplifting and rejuvenating.,0,65,App\Oil,Revitalizante y rejuvenecedor.,Edificar e rejuvenescer.
129,8/30/18 5:34,12/6/18 14:05,Lemon,Cleansing and refreshing.,0,40,App\Oil,Limpiador y refrescante.,Limpar e refrescar.
130,8/30/18 5:35,12/6/18 14:05,Lime,Energizing and enlivening.,0,42,App\Oil,Energizante y vivificante.,Energizar e animar.
131,8/30/18 5:35,12/6/18 10:01,Citrus Blisså¨,Rejuvenating and energizing.,0,17,App\Blend,Rejuvenecedor y energizante.,Rejuvenescer e energizar.
132,8/30/18 5:35,12/6/18 10:01,Breatheå¨,Invigorating and reviving.,0,25,App\Blend,Tonificante y reactivante.,Revigorar e reanimar.
133,8/30/18 5:36,12/6/18 10:01,Motivateå¨,"Stimulating, renewing, and strengthening.",0,13,App\Blend,"Estimulante, renovador y fortalecedor.","Estimular, renovar e fortalecer"
