id,created_at,updated_at,name,image_url,color,fact,Spanish fact,Portugese fact,research,is_featured,safety_information_id,top_uses_list,ingredients_list,sort_order
3,2018-10-16 22:12:34,2019-01-16 10:52:20,Bone Nutrient Lifetime Complex,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,C6D023,"This blend contains whole food created vitamins, minerals and other cofactors necessary for bone integrity, strength and overall health. Not just for women, this complex is bioavailable to the body so the cells not only will recognize, but also utilize the compounds for bone reformation.","Esta mezcla contiene vitaminas, minerales y otros cofactores necesarios para la integridad, la fuerza y la salud general de los huesos. No solo para las mujeres, este complejo está biodisponible para el cuerpo, por lo que las células no solo lo reconocerán, sino que también utilizarán los compuestos para la reforma ósea.","Esta mistura contém vitaminas, minerais e outros cofatores necessários para a integridade, força e saúde dos ossos criados a partir de alimentos integrais. Não apenas para as mulheres, este complexo é biodisponível para o corpo, para que as células não apenas reconheçam, mas também utilizem os compostos para a reforma óssea.","Association between serum 25-hydroxyvitamin d levels, bone geometry, and bone mineral density in healthy older adults, Mosele M, Coin A, Manzato E, et al, The Journals of Gerontology Series A: Biological Sciences and Medical Sciences. 2013 / 

Nutritional aspects of the prevention and treatment of osteoporosis, Peters BS, Martini LA, Arquivos Brasileiros de Endocrinologia & Metabologia, 2010 / 

Minerals and vitamins in bone health: the… potential value of dietary enhancement, Bonjour JP, Gueguen L, Palacios C, et al, 2009 / 

Magnesium and osteoporosis: current state of knowledge and future research direc- tions, Castiglioni S, Cazzaniga A, Albisetti W, Maier JA, Nutrients, 2013 / 

The physiological e ects of dietary boron, Devirian TA, Volpe SL, Critical Reviews in Food Science and Nutrition, 2003",0,79,"[{""label"":""Weak or fragile bones""},{""label"":""Osteopenia""},{""label"":""Bone fractures""},{""label"":""Osteoporosis"",""value"":463},{""label"":""Broken Bone"",""value"":100},{""label"":""Growing Pains"",""value"":277},{""label"":""Bone Density""}]","[{""label"":""Vitamin C""},{""label"":""Vitamin D2 and D3""},{""label"":""Biotin""},{""label"":""Calcium, Magnesium, Zinc, Copper, Manganese, and Boron ""}]",1
4,2018-10-16 22:14:54,2019-01-16 11:33:40,Slim & Sassy® Softgels,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,E77C3B,"A blend of essential oils in convenient softgels to help manage hunger throughout the day while boosting metabolism and promoting a positive mood, cleanse the body, aide digestion, curb the appetite, provide a stimulating and positive e ect on the endocrine system and to assist 
with weight loss.","Una mezcla de aceites esenciales en cápsulas blandas prácticas para ayudar a controlar el hambre a lo largo del día mientras que estimulan el metabolismo y promueven un estado de ánimo positivo, limpian el cuerpo, ayudan a la digestión, frenan el apetito, proporcionan un efecto estimulante y positivo sobre el sistema endocrino y ayudan a la pérdida de peso.","Um mix de óleos essenciais em cápsulas de gel convenientes para ajudar a controlar a fome ao longo do dia, aumentando o metabolismo e promovendo um humor positivo, purifica o corpo, ajuda na digestão, reduz o apetite, proporciona um efeito estimulante e positivo no sistema endócrino e ajuda na perda de peso.","Serum and macular responses to multiple xanthophyll supplements in patients with early age-related macular degeneration, Huang YM, Yan SF, Ma L, et al, Nutrition, 2013 / 

a-Linolenic acid and risk of cardiovascular disease: a systematic review and meta-analysis, Pan A, Chen M, Chowdhury R, et al, The American Journal of Clinical Nutrition, 2012 / 

Protective e ect of borage seed oil and gamma linolenic acid on DNA: In Vivo and In Vitro Studies, Tasset-Cuevas I, Fernandez-Bedmar Z, Lozano-Baena MD, et al, PLoS ONE, 2013 / 

Fish oil omega-3 fatty acids and cardio-metabolic health, alone or with statins, Minihane AM, European Journal of Clinical Nutrition, 2013 / 

Essential fatty acids as potential anti-inflammatory agents in the treatment of a ective disorders, Song C, Mod Trends Pharmacopsychiatry, 2013",0,101,"[{""label"":""Slow metabolism""},{""label"":""Overweight or obese individuals""},{""label"":""Fatigue"",""value"":240},{""label"":""Diabetes"",""value"":200}]","[{""label"":""Grapefruit"",""value"":38},{""label"":""Lemon"",""value"":45},{""label"":""Peppermint"",""value"":58},{""label"":""Ginger"",""value"":37},{""label"":""Cinnamon"",""value"":25}]",2
5,2018-10-17 15:04:46,2018-11-30 18:00:00,On Guard® Softgels,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,8B281E,A blend of several essential oils in a convenient softgel that protect the immune system from foreign invaders (pathogens).,Una mezcla de varios aceites esenciales en una cápsula blanda práctica que protege el sistema inmunológico de invasores extraños (patógenos).,"Um mix prático de vários óleos essenciais em cápsula, que protege o sistema imunológico de invasores externos (patógenos).",NULL,0,84,"[{""label"":""Dry Cough""},{""label"":""Laryngitis"",""value"":365},{""label"":""Flu (influenza)"",""value"":251},{""label"":""Cold (common)"",""value"":159},{""label"":""Compromised Immunity""}]","[{""label"":""Wild Orange"",""value"":75},{""label"":""Clove"",""value"":27},{""label"":""Black Pepper"",""value"":19},{""label"":""Cinnamon"",""value"":25},{""label"":""Eucalyptus"",""value"":33},{""label"":""Oregano"",""value"":56},{""label"":""Rosemary"",""value"":65},{""label"":""Melissa"",""value"":53}]",3
16,2018-10-19 00:03:11,2019-01-16 11:24:54,DDR Prime® Softgels,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,42C4DE,"A blend of essential oils that have been shown in clinical studies to help protect cells against free radical damage while supporting cellular function through apoptosis of damaged and mutated cells, and proliferation of healthy cells.","Una mezcla de aceites esenciales que han sido demostrados en estudios clínicos para ayudar a proteger las células contra el daño de los radicales libres mientras que apoyan la función celular a través de la apoptosis de las células dañadas y mutadas, y la proliferación de células sanas.","Uma mistura de óleos essenciais que foram mostrados em estudos clínicos para ajudar a proteger as células contra os danos dos radicais livres, apoiando a função celular através da apoptose de células danificadas e mutadas e a proliferação de células saudáveis.",NULL,0,80,"[{""label"":""Autoimmune Disorder"",""value"":58},{""label"":""Damaged or mutated cells""},{""label"":""Cellular regeneration""},{""label"":""Oxidative stress""},{""label"":""Healthy cellular function""}]","[{""label"":""Frankincense"",""value"":35},{""label"":""Wild Orange"",""value"":75},{""label"":""Lemongrass"",""value"":46},{""label"":""Thyme"",""value"":71},{""label"":""Clove"",""value"":27},{""label"":""Litsea"",""value"":48},{""label"":""Summer Savory oil""},{""label"":""Niaouli oil""}]",4
17,2018-10-19 22:13:37,2019-01-16 12:34:58,Alpha CRS®+,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,CA76BE,"Packed with nature’s most potent antioxidants, natural anti-inflammatories, and energy cofactors, this blend of synergistic herbs will give life and energy to the cells and a sense of well-being to the body.","Repleto de los antioxidantes más potentes de la naturaleza, antiinflamatorios naturales y cofactores de energía, esta mezcla de hierbas sinérgicas dará vida y energía a las células y una sensación de bienestar al cuerpo.","Embalada com os antioxidantes mais potentes da natureza, anti-inflamatórios naturais e cofatores de energia, esta mistura de ervas sinérgicas dará vida e energia às células e uma sensação de bem-estar ao corpo.","Gene Expression Profiling of Aging in Multiple Mouse Strains: Identification of Aging Biomarkers and Impact of Dietary Antioxidants, Park SK, Kim K, Page GP, Allison DB, Weindruch R, Prolla TA, Aging Cell, 2009 / 

Antioxidative and anti-inflammatory activities of polyhydroxyflavonoids of Scutellaria baicalensis GEORGI, Huang WH, Lee AR, Yang CH, Biosci Biotechnol Biochem, 2006 Oct / 

New therapeutic aspects of flavones: the anticancer properties of Scutellaria and its main active constituents Wogonin, Baicalein and Baicalin, Li-Weber M, Cancer Treat Rev, 2009 Feb / 

The SIRT1 activator resveratrol protects SK-N-BE cells from oxidative stress and against toxicity caused by alpha-synuclein or amyloid-beta (1-42) peptide, Albani D, Polito L, Batelli S, De Mauro S, Fracasso C, Martelli G, Colombo L, Manzoni C, Salmona M, Caccia S, Negro A, Forloni G, J Neurochem, 2009 / 

Resveratrol induces mitochondrial biogenesis in endothelial cells, Csiszar A, Labinskyy N, Pinto JT, Ballabh P, Zhang H, Losonczy G, Pearson K, de Cabo R, Pacher P, Zhang C, Ungvari Z, Am J Physiol Heart Circ Physiol, 2009 Jul / 

In vitro effects of tea polyphenols on redox metabolism, oxidative stress, and apoptosis in PC12 cells, Raza H, John A, Ann N Y Acad Sci, 2008 Sep / 

Orally administered green tea polyphenols prevent ultraviolet radiation-induced skin cancer in mice through activation of cytotoxic T cells and inhibition of angiogenesis in tumors, Mantena SK, Meeran SM, Elmets CA, Katiyar SK, J Nutr, 2005 Dec / 

Grape seed and red wine polyphenol extracts inhibit cellular cholesterol uptake, cell proliferation, and 5-lipoxygenase activity, Leifert WR, Abeywardena MY, Nutr Res, 2008 Dec / 

Quercetin increases brain and muscle mitochondrial biogenesis and exercise tolerance, Davis JM, Murphy EA, Carmichael MD, Davis B, Am J Physiol Regul Integr Comp Physiol, 2009 Apr / 

Mineral and vitamin deficiencies can accelerate the mitochondrial decay of aging, Ames BN, Atamna H, Killilea DW, Mol Aspects Med, 2005 Aug-Oct / 

Boswellic acid inhibits growth and metastasis of human colorectal cancer in orthotropic mouse model by downregulating inflammatory, proliferative, invasive and angiogenic biomarkers, Yadav, VR, Prasad S, Sung, B, Gelovani, JG, Guha, S, Krishnan, S, Aggarwal, BB Int. J. Cancer, 2012 / 

Plant food supplements with anti-inflammatory properties: A systematic review, Di Lorenzo C, Dell’agli M, Badea M, et al, Critical Reviews in Food Science and Nutrition, 2013 / 

Polyphenols, inflammation, and cardiovascular disease, Tangney CC, Rasmussen HE, Curr Atheroscler Rep, 2013 / 

Bioavailability and activity of phytosome complexes from botanical polyphenols: The silymarin, curcumin, green tea, and grape seed extracts, Kidd PM, Alternative Medicine Review, 2009 / 

Open, randomized controlled clinical trial of Boswellia serrata extract as compared to valdecoxib in osteoarthritis of knee, Sontakke S, Thawani V, Pimpalkhute S, Kapra P, Babhulkar S, Hingorani L, Indian Journal of Pharmacology. 2007 / 

Baicalin, an emerging multi-therapeutic agent: pharmacodynamics, pharmacokinetics, and considerations from drug development perspectives, Srinivas NR, Xenobiotica, 2010",0,81,"[{""label"":""Chronic Pain"",""value"":154},{""label"":""Inflammation"",""value"":341},{""label"":""Arthritis (reactive)"",""value"":51},{""label"":""Arthritic Pain"",""value"":50},{""label"":""Osteoarthritis"",""value"":461},{""label"":""Fibromyalgia"",""value"":247},{""label"":""Brain Fog"",""value"":95},{""label"":""Fatigue"",""value"":240},{""label"":""Mood Swings"",""value"":415},{""label"":""Cancer prevention""},{""label"":""Cellular repair""}]","[{""label"":""Boswellia serrata gum resin""},{""label"":""Scutellaria Root (baicalin)""},{""label"":""Milk Thistle (silymarin)""},{""label"":""Polygonum cuspidatum (resveratrol)""},{""label"":""Green Tea Leaf (EGCG)""},{""label"":""Pomegranate Fruit extract""},{""label"":""Pineapple (bromelain)""},{""label"":""Turmeric extract (curcumin)""},{""label"":""Grape Seed extract""},{""label"":""Sesame seed extract""},{""label"":""Pine Bark extract (pycnogenol)""},{""label"":""Gingko Biloba Leaf""},{""label"":""Acetyl-L-Carnitine""},{""label"":""Alpha-Lipoic Acid""},{""label"":""Coenzyme Q10""},{""label"":""Quercetin""}]",5
18,2018-10-19 22:59:44,2019-01-16 11:10:42,a2z Chewable™,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,DD1E31,"Multivitamin, mineral and botanical chewable for children and adults that have
difficulty swallowing. Blended with antioxidants and herbal compounds that increase overall health and wellness.","Multivitamínico, mineral y botánico masticable para niños y adultos que tienen dificultad para tragar. Mezclado con antioxidantes y compuestos herbales que aumentan la salud y el bienestar general.","Multivitamínico, mineral e botânico mastigável para crianças e adultos que têm dificuldade em engolir. Misturado com antioxidantes e compostos à base de plantas que aumentam a saúde e bem-estar geral.","Selected vitamins and trace elements support immune function by strengthening epithelial barriers and cellular and humoral immune responses, Maggini S, Wintergerst ES, Beveridge S, Hornig DH, British Journal of Nutrition, 2007 / 

Contribution of selected vitamins and trace elements to immune function, Wintergerst ES, Maggini S, Hornig DH, Ann Nutr Met, 2007 / 

Minerals and vitamins in bone health: The potential value of dietary enhancement, Bonjour JP, Gueguen L, Palacios C, et al, Bri J Nutr, 2009 / 

The immunological functions of the vitamin D endocrine system, Hayes CE, Nashold FE, Spach KM & Pedersen LB, Cell Molec Biol, 2003 / 

Possible role for dietary lutein and zeaxanthin in visual development, Hammond BR, Nutr Rev, 2008",0,82,"[{""label"":""Fatigue"",""value"":240},{""label"":""Low energy""},{""label"":""Digestion""},{""label"":""Immunity issues""},{""label"":""Brain Fog"",""value"":95},{""label"":""Oxidative cell damage""},{""label"":""Malnutrition""},{""label"":""Poor health""}]","[{""label"":""Vitamins A, C, D3, and full B-complex""},{""label"":""Calcium, copper, iron, iodine, magnesium, manganese, potassium and zinc""},{""label"":""Superfood Blend""},{""label"":""Cellular Vitality Complex""}]",6
19,2018-10-19 23:26:22,2018-11-30 18:00:00,PB Assist®+,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,8AB32D,"A double-encapsulated, time-release probiotic capsule or powdered encapsulated probiotic supplement (for children
or adults who have trouble swallowing pills) with six different strains of good bacteria and prebiotic fiber for maximum delivery and cultivation of healthy gut flora.","Una cápsula probiótica doble encapsulada, de liberación prolongada o suplemento probiótico encapsulado en polvo (para niños o adultos que tienen problemas para tragar pastillas) con seis cepas diferentes de bacterias benéficas y fibra prebiótica para lograr la máxima absorción y el mejor cultivo posible de la flora intestinal saludable.",Cápsula probiótica encapsulada duplamente com liberação do tempo ou suplemento probiótico encapsulado em pó (para crianças ou adultos que têm dificuldade em engolir pílulas) com seis cepas diferentes de boas bactérias e fibras prebióticas para proporcionar o máximo fornecimento e cultivo de flora intestinal saudável.,NULL,0,83,"[{""label"":""Gas (flatulence)"",""value"":265},{""label"":""Constipation"",""value"":174},{""label"":""Diarrhea"",""value"":204},{""label"":""Anxiety"",""value"":43},{""label"":""Depression"",""value"":197},{""label"":""Mental disorders""},{""label"":""Infections""}]","[{""label"":""L. acidophilus, L. salivarius, L. casei""},{""label"":""B. lactis, B. bifidum, B. longum""},{""label"":""FOS (fructooligosaccharides) prebiotic""}]",7
20,2018-10-19 23:34:13,2018-11-30 18:00:00,Zendocrine® Softgels,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,C95F15,"A blend of essential oils that support natural detoxification of the body to help cleanse it of toxins and free radicals that can slow your systems down, leaving a heavy, weighted feeling.","Una mezcla de aceites esenciales que apoyan la desintoxicación natural del cuerpo para ayudar a eliminar las toxinas y los radicales libres que pueden ralentizar sus sistemas, provocando una molesta sensación de pesadez.","Uma mistura de óleos essenciais que auxilia a desintoxicação natural do corpo para ajudar a limpá-lo de toxinas e radicais livres que podem retardar seus sistemas, deixando uma sensação lenta e pesada.",NULL,0,84,"[{""label"":""Toxic liver""},{""label"":""Jaundice"",""value"":354},{""label"":""Cirrhosis"",""value"":156},{""label"":""Bloating"",""value"":82},{""label"":""Gallbladder Issues"",""value"":261},{""label"":""Pancreatitis"",""value"":474},{""label"":""Kidney damage""},{""label"":""Hormonal Imbalance (female)"",""value"":319},{""label"":""Hormone Imbalance (male)"",""value"":320}]","[{""label"":""Tangerine"",""value"":70},{""label"":""Rosemary"",""value"":65},{""label"":""Geranium"",""value"":36},{""label"":""Juniper Berry"",""value"":42},{""label"":""Cilantro"",""value"":24}]",8
21,2018-10-19 23:39:02,2019-01-16 11:40:29,Zendocrine® Complex,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,E29010,"This complex is a proprietary blend of 14 active whole-food extracts in a patented enzyme delivery system that supports healthy cleansing and filtering functions of the liver, kidneys, colon, lungs, and skin.","Este complejo es una mezcla de propiedad exclusiva de 14 extractos activos de alimentos integrales en un sistema patentado de administración de enzimas que apoya las funciones saludables de limpieza y filtrado del hígado, los riñones, el colon, los pulmones y la piel.","Este complexo é um mix patenteado de 14 extratos ativos de alimentos integrais em um sistema patenteado de liberação de enzimas que auxilia funções saudáveis de limpeza e filtragem do fígado, rins, cólon, pulmões e pele.",NULL,0,84,"[{""label"":""Toxic Liver""},{""label"":""Jaundice"",""value"":354},{""label"":""Cirrhosis"",""value"":156},{""label"":""Bloating"",""value"":82},{""label"":""Gallbladder Issues"",""value"":261},{""label"":""Pancreatitis"",""value"":474},{""label"":""Kidney damage""},{""label"":""Respiratory Issues"",""value"":524},{""label"":""Colon issues""},{""label"":""Constipation"",""value"":174}]","[{""label"":""Barberry leaf, milk thistle seed, burdock root, clove bud""},{""label"":""Dandelion root, garlic fruit, red clover leaf""},{""label"":""Turkish rhubarb stem, burdock root, clove bud, dandelion root""},{""label"":""Psyllium seed husk, turkish rhubarb stem, acacia gum bark, marshmallow root""},{""label"":""Osha root, safflower petals""},{""label"":""Kelp, milk thistle seed, burdock root, clove bud, garlic fruit""},{""label"":""Enzyme assimilation system of amylase and cellulase""},{""label"":""Natural mineral cofactors magnesium and manganese""}]",9
22,2018-10-22 18:03:33,2019-01-16 11:26:21,DigestZen® Softgels,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,6982D0,A synergistic blend of essential oils that help ease digestion and increase digestive health.,Una mezcla sinérgica de aceites esenciales que ayudan a facilitar la digestión y aumentar la salud digestiva.,Uma mistura sinérgica de óleos essenciais que ajudam a facilitar a digestão e aumentam a saúde digestiva.,NULL,0,86,"[{""label"":""Upset stomach""},{""label"":""Constipation"",""value"":174},{""label"":""Diarrhea"",""value"":204},{""label"":""Irritable Bowel Syndrome"",""value"":352},{""label"":""Vomiting"",""value"":636},{""label"":""Heartburn"",""value"":301},{""label"":""Acid reflux"",""value"":13},{""label"":""Indigestion"",""value"":336}]","[{""label"":""Ginger"",""value"":37},{""label"":""Peppermint"",""value"":58},{""label"":""Tarragon""},{""label"":""Fennel"",""value"":34},{""label"":""Caraway""},{""label"":""Coriander"",""value"":29},{""label"":""Anise""}]",10
23,2018-10-22 18:11:30,2018-11-30 18:00:00,Mito2Max®,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,EA891B,A blend of adaptogenic herbs and extracts with energy co-factors made to increase mitochondrial biogenesis and overall energy while decreasing the stress response due to physical activity and daily life.,"Una mezcla de hierbas y extractos adaptogénicos con cofactores energéticos elaborados para aumentar la biogénesis mitocondrial y la energía general, a la vez que disminuyen la respuesta al estrés debido a la actividad física y la vida diaria.","Um mix de ervas e extratos adaptogênicos com cofatores de energia feito para aumentar a biogênese mitocondrial e a energia global, enquanto diminui a resposta ao estresse devido à atividade física e à vida diária.","Ginkgo biloba special extract EGb 761 in generalized anxiety disorder and adjustment disorder with anxious mood: A randomized, double-blind, placebo-controlled trial, Woelk H, Arnoldt KH, Kieser M, Hoerr R, Journal of Psychiatric Research 2007 / 

Effects of ginkgo biloba on mental functioning in healthy volunteers, Cieza A, Maier P, Poppel E, Archives of Medical Research, 2002 / 

Translating the basic knowledge of mitochondrial functions to metabolic therapy: role of L-carnitine, Marcovina SM, Sirtori C, Peracino A, et al, Translational Research 2013 / 

Effects of α-lipoic acid on mtDNA damage following isolated muscle contractions, Fogarty MC, Deviot G, Hughes CM, et al, Med Sci Sports Exerc, 2013 / 

The effects and mechanisms of mitochondrial nutrient a-lipoic acid on improved age-associated mitochondrial and cognitive dysfunction: An overview, Liu J, Neurochem Res, 2008 / 

Effect of Cs-4 (Cordyceps sinensis) on exercise performance in healthy older subjects: A double-blind, placebo controlled trial, Chen S, Li Z, Krochmal R, et al, The Journal of Alternative and Complementary Medicine. 2010",0,84,"[{""label"":""Fatigue"",""value"":240},{""label"":""Adrenal Fatigue"",""value"":21},{""label"":""Hormonal Imbalance (female)"",""value"":319},{""label"":""Hormone Imbalance (male)"",""value"":320},{""label"":""Libido (low) for Men"",""value"":373},{""label"":""Libido (low) for Women"",""value"":374},{""label"":""Stress"",""value"":582},{""label"":""Anxiety"",""value"":43},{""label"":""Circulation (Poor)"",""value"":155}]","[{""label"":""Acetyl-L-Carnitine HCL""},{""label"":""Alpha-Lipoic Acid:""},{""label"":""Coenzyme Q10""},{""label"":""Lychee Fruit Extract and Green Tea Leaf Polyphenol Extract""},{""label"":""Quercetin dihydrate""},{""label"":""Cordyceps Mycelium""},{""label"":""Ginseng (Panax quinquefolius) root extract""},{""label"":""Ashwagandha (withania somnifera) root extract""}]",11
28,2018-10-22 18:17:42,2019-01-16 11:29:21,MicroPlex VMz,gLqvrxyck5kU6j5sfOffxoF49tLqA8LCVHzUsCVu.jpeg,A89423,"Revolutionary micronutrient supplement providing naturally balanced amounts of all vitamins, minerals, trace elements, phytonutrients and antioxidants that give your body the most beneficial and safe amounts needed for long-term health and vitality.","Suplemento revolucionario de micronutrientes que proporciona cantidades naturalmente equilibradas de todas las vitaminas, minerales, oligoelementos, fitonutrientes y antioxidantes que dan a su cuerpo las cantidades más beneficiosas y seguras necesarias para la salud y la vitalidad a largo plazo.","Suplemento revolucionário de micronutrientes que fornece quantidades naturalmente equilibradas de todas as vitaminas, minerais, oligoelementos, fitonutrientes e antioxidantes que proporcionam ao seu corpo as quantidades mais benéficas e seguras necessárias para a saúde e vitalidade a longo prazo.","Selected vitamins and trace elements support immune function by strengthening epithelial barriers and cellular and humoral immune responses, Maggini S, Wintergerst ES, Beveridge S, Hornig DH, British Journal of Nutrition. 2007 / 

Contribution of selected vitamins and trace elements to immune function, Wintergerst ES, Maggini S, Hornig DH, Ann Nutr Met, 2007 / 

Efficacy and tolerability of a fixed combination of peppermint oil and caraway oil in patients suffering from functional dyspepsia, May B, Kohler S, Schneider B, Aliment Pharmacol Therapy. 2000 / 

The immunological functions of the vitamin D endocrine system, Hayes CE, Nashold FE, Spach KM & Pedersen LB, Cell Molec Biol, 2003 / 

Use of calcium or calcium in combination with vitamin D supplementation to prevent fractures
and bone loss in people aged 50 years and older: a meta-analysis, Tang BMP, Eslick GD, Nowson C, et al, The Lancet, 2007",0,103,"[{""label"":""Compromised digestion""},{""label"":""Compromised immunity""},{""label"":""Oxidative cell damage""},{""label"":""Malnutrition""},{""label"":""Poor Health""},{""label"":""Imbalanced nutrition""},{""label"":""Low energy""},{""label"":""Fatigue"",""value"":240}]","[{""label"":""Water soluble vitamins, B-complex and C""},{""label"":""Fat soluble vitamins A, E and K""},{""label"":""Vitamin D3""},{""label"":""Macro-minerals (calcium, iron, iodine, magnesium, zinc, selenium, copper, manganese and chromium)""},{""label"":""Polyphenol Blend""},{""label"":""Whole Foods Blend""},{""label"":""Stomach Comfort Blend of ginger root extract, peppermint extract and caraway seed extract""}]",12
