en,es,pt
Cancer & Tumors,Cáncer y tumores,Câncer e Tumores
"Estrogen, Progesterone, & Thyroid Issues","Estrógeno, progesterona, y problemas de tiroides","Estrogênio, Progesterona e Problemas da Tireoide"
Candida & Fungal Issues,Candidiasis y problemas de hongo,Cândida e Problemas Fúngicos
Nerve Damage,Daño en los nervios,Neuropatia Periférica
Autoimmune Disorders,Trastornos autoinmunes,Transtornos Autoimunes
Seizures & Aging Brain,Convulsiones y envejecimiento del cerebro,Convulsões e Envelhecimento Cerebral
Breast Issues,Problemas de senos,Problemas de mama
Hot Flashes & Night Sweats,Bochornos y sudores nocturnos,Ondas de Calor e Suores Noturnos
Detox & Viruses,Desintoxicación y virus,Desintoxicação e Vírus
Inflammation Issues,Problemas de inflamación,Problemas inflamatórios
Discouraged & Unenthused,Desalentado y sin entusiasmo,Desanimado e Desentusiasmado
Tired & Weary,Cansado y agotado,Cansado e Esgotado
Lack or determination & Conviction,Falta de determinación y convicción,Falta de Determinação e Convicção
Afraid & Scared,Con miedo y asustado,Amedrontado e Assustado
Lack of confidence & Motivation,Falta de confianza y motivación,Falta de Confiança e Motivação
Confused & Overwhelmed,Confundido y agobiado,Confuso e Sobrecarregado
"Digestive Upset, Nervous & Agitated","Con malestar digestivo, nervioso y agitado","Estômago Embrulhado, Nervoso e Agitado"
Aches & Pains,Dolores y molestias,Sofrimentos e Dores
"Uncooperative & Obstinate, Out Of Control","Poco cooperativo y obstinado, fuera de control","Não cooperativo e obstinado, fora de controle"
Overstimulated & Overwhelmed,Sobreestimulado y agobiado,Superstimulado e Sobrecarregado
Disconnected From The Earth & Reality,Desconectado de la tierra y la realidad,Desconectado da Terra e Realidade
Focus Issues & Mood Swings,Problemas de enfoque y alteraciones del ánimo,Questões de foco e humor
Restless & Wound Up,Inquieto y alterado,Inquieto/Tenso
"Anger & Frustration, Tantrums","Ira y frustración, berrinches","Raiva e Frustração, birras"
"Grief & Sadness, Disappointment","Pena y tristeza, decepción","Luto e Tristeza, Desapontamento"
Bath & Bedtime Routine,Rutina de baño y sueño,Rotina de banho e hora de dormir
"Unsettled & Restless, Sleep Issues","Inquieto y agitado, problemas de sueño","Agitado e Insone, Problemas de Sono"
Stressed & Anxious,Estresado y ansioso,Estressado e ansioso
"Fussy, Easily Upset & Startled","Quisquilloso, fácil de molestarse y alarmado","Agitado, facilmente chateado e assustado"
"Uptight & Wound Up, Moody","Tenso y alterado, malhumorado","Nervoso e Tenso, Temperamental"
Muscle Aches & Growing Pains,Dolores musculares y dolores crecientes,Dores musculares e dores de crescimento
"Angry, Agitated & Irritable","Enojado, agitado e irritable","Irado, Agitado e Irritável"
Bath & Bedtime Routine,Rutina de baño y sueño,Rotina de banho e hora de dormir
Kill Germs & Microbes,Eliminar gérmenes y microbios,Matar germes e micróbios
Air & Odor Cleansing,Limpieza de aire y olores,Limpeza de Ar e Odor
Discouragement,Desaliento,Desencorajamento
Addictions,Adicciones,Vícios
Allergies,Alergias,Alergias
Acne,Acné,Acne
Surface Cleaning,Limpieza superficial,Limpeza de superfícies
Insect Repellent,Repelente de insectos,Repelente de insetos
Bug Bites & Stings,Mordeduras y picaduras de insectos,Picadas/mordidas de insetos
Laundry,Lavandería,Lavanderia
Deodorant,Desodorante,Desodorante
Lymphatic Detox,Desintoxicante linfático,Desintoxicação Linfática
"Kidney, Gallbladder & Liver Cleansing","Limpieza de riñón, vesícula biliar e hígado","Limpeza do Rim, da Vesícula Biliar e do Fígado"
Heavy Metal Detoxification Tract Infection,Desintoxicación de metales pesados e infecciones del tracto urinario,Desintoxicação de metais pesados Infecção do trato
Constipation & Urinary Tract Infection,Estreñimiento e infección del tracto urinario,Prisão de ventre e infecção do trato urinário
Weight Loss & Detoxification,Pérdida de peso y desintoxicación,Perda de peso e desintoxicação
Colitis & Jaundice,Colitis e ictericia,Colite e icterícia
Endocrine & Hormone Imbalance,Desequilibrio endocrino y hormonal,Desequilíbrio endócrino e hormonal
Adrenal Fatigue & Exhaustion,Fatiga y agotamiento suprarrenal,Fadiga Adrenal/Exaustão
Hangover,Resaca,Ressaca
"Lack of Confidence, Courage or Motivation","Inseguridad, falta de coraje o motivación","Falta de Confiança, Coragem ou Motivação"
Confusion & Overwhelm,Confusión y desconcierto,Confusão e sobrecarga
Mental Fatigue & Exhaustion,Fatiga mental y agotamiento,Fadiga Mental e Exaustão
Depletion & Stagnation,Agotamiento y estancamiento,Depleção e Estagnação
Depression,Depresión,Depressão
Physical Exhaustion,Agotamiento físico,Exaustão física
Digestive Issues,Problemas digestivos,Problemas digestivos
Bronchitis & Asthma,Bronquitis y asma,Bronquite e Asma
Aches & Pains,Dolores y molestias,Sofrimentos e Dores
Over- & Under-Active Brain Activity,Actividad cerebral excesiva o escasa,Atividade cerebral excessiva e insuficiente
"Mental Clarity, Focus & Concentration","Claridad mental, enfoque y concentración","Clareza Mental, Foco e Concentração"
Calming & Grounding,Tranquilizante y estabilizador,Calmante e Aterramento
"Nervousness, Anxiety & Depression","Nerviosismo, ansiedad y depresión","Nervosismo, Ansiedade e Depressão"
Stress & Hyperactivity,Estrés e hiperactividad,Estresse e hiperatividade
Mid-Afternoon Slump,Cansancio de media tarde,Depressão de final de tarde
Seizures,Convulsiones,Epilepsia (Convulsões)
Refreshing & Joyful,Refrescante y alegre,Refrescante e alegre
Immune Boost,Refuerzo del sistema inmunitario,Fortalecimento imunológico
Cold & Flu Prevention,Prevención de la gripe y el resfriado,Prevenção de Gripe e Resfriado
Headache & Migraine,Dolor de cabeza y migraña,Dor de cabeça e enxaqueca
Tension & Stress,Tensión y estrés,Tensão e Estresse
Neck & Shoulder Discomfort,Molestia en el cuello y los hombros,Desconforto no pescoço e ombros
Arthritis,Artritis,Artrite
Protecting & Warming,Protector y cálido,Proteger e aquecer
Low Energy & Exhaustion,Energía baja y agotamiento,Baixa Energia e Exaustão
"Stress, Anxiety & Depression","Estrés, ansiedad y depresión","Estresse, Ansiedade e Depressão"
Air Freshener,Ambientador,Purificador de ar
Antiseptic Cleaner,Limpiador antiséptico,Limpador antisséptico
Eating Disorders,Trastornos alimenticios,Distúrbios Alimentares
Perfume,Perfume,Perfume
Laundry,Lavandería,Lavanderia
Lymphatic & Immune Boost,Refuerzo del sistema linfático e inmunitario,Reforço Linfático e Imunológico
Muscle Aches & Arthritis,Dolores musculares y artritis,Dores musculares e artrite
"Headache, Neck & Back Pain","Dolor de cabeza, cuello y espalda","Dor de cabeça, dor no pescoço e nas costas"
Neuropathy & Restless Leg Syndrome,Neuropatía y síndrome de piernas inquietas,Neuropatia e Síndrome das Pernas Inquietas
Connective Tissue & Ligament Support,Refuerzo del tejido conectivo y los ligamentos,Apoio do tecido conjuntivo e ligamentos
Lymphatic Support,Refuerzo del sistema linfático,Apoio Linfático
High Blood Pressure,Hipertensión,Pressão Arterial Alta
Poor Circulation & Cold Extremities,Circulación deficiente y extremidades frías,Extremidades frias e má circulação
"Muscle Tension, Soreness & Cramps","Tensión muscular, molestia y calambres","Tensão Muscular, Dor e Cólicas"
Insecurity & Worry,Inseguridad y preocupación,Insegurança e preocupação
Nervousness & Irritability,Nerviosismo e irritabilidad,Nervosismo e Irritabilidade
Restlessness & Confusion,Inquietud y confusión,Inquietação e Confusão
"ADD, ADHD & Focus Issues","Trastornos ADD, ADHD y de atención","DDA, TDAH e Problemas de Foco"
"Stress, Mental Strain & Hyperactivity","Estrés, tensión mental e hiperactividad","Estresse, tensão mental e hiperatividade"
Addictions & Anorexia,Adicciones y anorexia,Vícios e Anorexia
Childbirth & Recovery,Parto y recuperación,Parto e Recuperação
Allergies & Overreaction,Alergias y reacción exagerada,Alergias e reação exagerada
Colic & Calming,Cólico y calmante,Cólica e Calmante
Infertility & Frigidity,Infertilidad y frigidez,Infertilidade e frigidez
Meditation,Meditación,Meditação
Repellent,Repelente,Repelente
Cellular Health,Salud celular,Saúde Celular
Sunscreen,Protector solar,Protetor solar
Skin Complaints,Afecciones de la piel,Enfermidades de pele
Healthy Boundaries,Límites saludables,Limites Saudáveis
Wood Polish,Refinamiento de la madera,Polidor de madeira
Insomnia & Sleep Issues,Insomnio y trastornos del sueño,Problemas de insônia e sono
Stress & Anxiety,Estrés y ansiedad,Estresse e Ansiedade
Fussy Baby & Restless Child,Bebé quisquilloso & niño inquieto,Bebê agitado e criança inquieta
Tension & Mood Swings,Tensión y alteraciones del ánimo,Tensão e alterações de humor
Skincare,Cuidado de la piel,Cuidados com a pele
Muscle Tension,Tensión muscular,Tensão Muscular
Perfume,Perfume,Perfume
Calm Fears & Nervousness,Calmar miedos y nerviosismo,Acalma Medos e Nervosismo
Bath & Bedtime Routine,Rutina de baño y sueño,Rotina de banho e hora de dormir
"Anger, Agitation & Irritability","Ira, agitación e irritabilidad","Raiva, Irritabilidade e Agitação"
"Muscle, Back & Joint Pain","Dolor muscular, de espalda y articular","Dor Muscular, nas Costas e nas Articulações"
Arthritis & Aches,Artritis y dolores,Artrite e dores
Neuropathy & Carpal Tunnel,Neuropatía y túnel carpiano,Neuropatia e Síndrome de Túnel de Carpo
Fibromyalgia & Lupus,Fibromialgia y lupus,Fibromialgia e Lúpus
Whiplash & Muscle Tension,Latigazo cervical y tensión muscular,Efeito chicote e tensão muscular
Pre- & Post-Workout,Ejercicio previo y posterior,Pré e pós-treino
Growing Pains,Dolores crecientes,Dores de crescimento
Headache & Neck Pain,Dolor de cabeza y de cuello,Dor de cabeça e dor no pescoço
Bruises & Injuries,Moretones y lesiones,Contusões e Lesões
Complimentary Yoga Poses,Poses de yoga de cortesía,Posições de Yoga Confortáveis
"Meditation, Prayer & Focus","Meditación, oración y enfoque","Meditação, Oração e Foco"
"Anchored, Courageous & Authentic","Anclado, valiente y auténtico","Ancorado, Corajoso e Autêntico"
"Composed, Calm & Rested","Compuesto, tranquilo y descansado","Composto, Calmo e Descansado"
"Rooted to the Earth, Speaking Truth","Arraigado a la Tierra, habla con la verdad","Enraizado na Terra, Falando Verdade"
Fearful & Disconnected,Temeroso y desconectado,Temeroso e Desconectado
Perfume,Perfume,Perfume
Headaches & Migraines,Dolores de cabeza y migrañas,Dores de cabeça e Enxaquecas
"Muscle Aches, Swelling & Cramping","Dolores musculares, inflamación y cólicos","Dores musculares, inchaço e cólicas"
Hangover,Resaca,Ressaca
Hot Flashes & Cooling,Bochornos y sensación de frío,Ondas de Calor e Resfriamento
Bruises & Burns,Moretones y quemadurass,Contusões e Queimaduras
Joint Pain,Dolor articular,Dor nas articulações
Tension & Stress,Tensión y estrés,Tensão e Estresse
Neck & Shoulder Pain,Dolor de cuello y hombros,Dor no pescoço e no ombro
Arthritis,Artritis,Artrite
Restful Sleep,Sueño relajante,Sono repousante
Hormone Balancing,Equilibrio hormonal,Equilíbrio hormonal
"Heavy Periods, PMS & Cramps","Periodos abundantes, síndrome premenstrual y cólicos","Períodos menstruais difíceis, TPM e Cólicas"
Pre & Perimenopause,Pre y perimenopausia,Pré e Perimenopausa
Hot Flashes,Bochornos,Calor da Menopausa
Mood Swings,Alteraciones del ánimo,Alterações de humor
Skin Issues & Wounds,Lesiones de la piel y heridas,Problemas de pele e feridas
Sex Drive & Low Libido,Deseo sexual y libido baja,Impulso sexual e baixa libido
"Energizing, Uplifting Mood & Environment","Energizante, revitaliza el estado de ánimo y ambiente","Energizar, Revigorar o Humor e o Ambiente"
"Calm, Supported & Relaxed","Tranquilo, apoyado y relajado","Calmo, Apoiado e Relaxado"
"Focused Heart, Mind & Body","Corazón, mente y cuerpo enfocados","Coração, Mente e Corpo Focados"
"Empowered, Meditation & Tranquility","Fortalecido, meditación y tranquilidad","Empoderado, Meditação e Tranquilidade"
Be true to self,Sé fiel a ti mismo,Seja Verdadeiro Consigo
Magnify your radiance in Feminine Energy,Magnifica tu resplandor en Energía femenina,Amplie seu Esplendor em Energia Feminina
Perfume,Perfume,Perfume
"Shock, Distress & Fear","Conmoción, angustia y miedo","Choque, aflição e medo"
Muscle Aches & Tension,Dolores musculares y tensión,Dores Musculares e Tensão
Growing Pains,Dolores crecientes,Dores de crescimento
"Headache, Migraines & Neck Pain","Dolor de cabeza, migrañas y dolor de cuello","Dor de cabeça, enxaquecas e dor no pescoço"
Bruises & Injuries,Moretones y lesiones,Contusões e Lesões
Bath & Bedtime Routine,Rutina de baño y sueño,Rotina de banho e hora de dormir
Complimentary Yoga Poses,Poses de yoga de cortesía,Posições de Yoga Confortáveis
Connectedness with Self and Higher Power,Conexión con uno mismo y con un poder superior,Conectividade com o Eu e com o Poder Superior
"Intentional, Action-Oriented & Manifesting","Intencional, orientado a la acción y manifestado","Intencional, Orientado à Ação e Manifestante"
"Uplifted, Courageous & Empowered","Elevado, valiente y fortalecido","Edificado, Corajoso e Empoderado"
"Overwhelmed, Mental Chatter, Lack of Clarity & Focus","Agobiado, parloteo mental, falta de claridad y enfoque","Sobrecarregado, tagarelice mental, falta de clareza e foco"
"Feeling Challenged, Depression & Mood Swings","Sentirse desafiado, depresión y cambios de humor","Sentir-se desafiado, depressão e alterações de humor"
Perfume,Perfume,Perfume
Elevate Mood & Mind,Estimulante del ánimo y la mente,Elevar o Humor e a Mente
Energize & Refresh,Energizante y refrescante,Energizar e Refrescar
Stress & Anxiety,Estrés y ansiedad,Estresse e Ansiedade
Depression & Mood Disorders,Trastornos de depresión y del ánimo,Depressão e Transtornos do Humor
Grief & Sorrow,Pena y aflicción,Luto e Pesar
Stimulating & Uplifting,Estimulante y edificante,Revigorante e edificante
Immunity,Inmunidad,Imunidade
"Discouraged, Enraged, Agitated & Irritated","Desalentado, enfurecido, agitado e irritado","Desencorajado, Enfurecido, Agitado e Irritado"
"Calm, Grounded & Relaxed","Tranquilo, centrado y relajado","Calmo, aterrado e relaxado"
"Focused Heart, Mind & Body","Corazón, mente y cuerpo enfocados","Coração, Mente e Corpo Focados"
"Mental Clarity, Meditation & Tranquility","Claridad mental, meditación y tranquilidad","Clareza Mental, Meditação e Tranquilidade"
Cologne,Colonia,Colônia
Women's Perfume,Perfume para mujer,Perfume feminino
"Forgiveness, Attachment & Holding on","Indulgencia, afección y apaciguamiento","Perdão, apego e retenção"
Anxiety,Ansiedad,Ansiedade
Ulcers & Liver Issues,Úlceras y problemas del hígado,Úlceras e problemas no fígado
Skin Infection & Damage,Infección y lesión de la piel,Infecção e danos da pele
Addictions & Irritability,Adicciones e irritabilidad,Vícios e Irritabilidade
Circulation,Circulación,Circulação
Fungus & Parasites,Hongos y parásitos,Fungos e Parasitas
Spiritual & Emotional Toxicity,Toxicidad espiritual y emocional,Toxicidade Espiritual e Emocional
"Hair Loss, Prostate Issues & Libido","Caída del cabello, problemas de próstata y libido","Queda de cabelo, problemas de próstata e libido"
Incontinence,Incontinencia,Incontinência
Emotional Repression,Represión emocional,Repressão emocional
Pneumonia & Asthma,Neumonía y asma,Pneumonia e asma
Allergies,Alergias,Alergias
Cough & Congestion,Tos y congestión,Tosse e Congestão
Bronchitis & Influenza,Bronquitis e influenza,Bronquite e Influenza
Sinusitis & Nasal Polyps,Sinusitis y pólipos nasales,Sinusite e pólipos nasais
Sleep Issues,Problemas de sueño,Problemas de sono
Constricted Breathing,Respiración obstruida,Respiração Constritiva
Exercise-induced asthma,Asma inducida por el ejercicio,Asma Induzida por Exercício
Balance Hormones,Equilibrio de hormonas,Equilibrar os hormônios
Perfume,Perfume,Perfume
Hot Flashes,Bochornos,Calor da Menopausa
Libido & Sex Drive,Libido y deseo sexual,Libido e impulso sexual
Anger,Ira,Raiva
Self-Expression & Presence,Autoexpresión y presencia,Auto-Expressão e Presença
Self-Confidence & Creativity,Confianza en sí mismo y creatividad,Autoconfiança e Criatividade
Wrinkles & Fine Lines,Arrugas y líneas finas,Rugas e Linhas Finas
Sun Damage & Skin Cancer,Daños ocasionados por el sol y cáncer de piel,Danos Solares e Câncer de Pele
Scars & Stretch Marks,Cicatrices y estrías,Cicatrizes e Estrias
Blemishes,Imperfecciones,Manchas
Tension & Mood Balance,Equilibrio de tensión y del estado de ánimo,Tensão e alterações de humor
Meditation,Meditación,Meditação
Cataracts,Cataratas,Catarata
Complimentary Yoga Poses,Poses de yoga de cortesía,Posições de Yoga Confortáveis
Scattered & Overwhelmed,Disperso y agobiado,Disperso e Sobrecarregado
"Aligned, Singleminded, Tranquil & Focused","Alineado, dedicado, tranquilo y enfocado","Alinhado, Sério, Tranquilo e Focado"
Accepted & Worthy,Aceptado y digno,Aceito e Digno
Meditation & Prayer,Meditación y oración,Meditação e Oração
Apathetic & Low Energy,Apático y energía baja,Apático e Baixa Energia
"Anger, Rage & Imbalanced Mood","Ira, rabia y estado de ánimo desequilibrado","Raiva, Fúria e Humor Desequilibrado"
Perfume,Perfume,Perfume
"ADD / ADHD, Hyperactivity","ADD o ADHD, Hiperactividad","DDA/TDAH, HIPERATIVIDADE"
Over & Underactive Brain,Actividad cerebral excesiva o escasa,Cérebro Hiperativo e Hipoativo
"Lack Of Mental Clarity, Focus & Concentration","Falta de claridad mental, enfoque y concentración","Clareza Mental, Foco e Concentração"
Overwhelmed & Overthinking,Agobiado y pensar de más,Oprimido e Pensar Excessivamente
Stressed Out & Ungrounded,Estresado y desenfocado,Estressado e sem Base
"Nervous, Anxious & Moody","Nervioso, ansioso y malhumorado","Nervoso, Ansioso e Mal-humorado"
Afternoon Slump & Disconnected,Cansancio por la tarde y desconectado,Depressão de Final de Tarde e Desconectado
Seizures,Convulsiones,Epilepsia (Convulsões)
"Bacteria & Viruses, Airborne Pathogens","Bacterias y virus, patógenos de transmision aérea","Bactérias e vírus, patógenos transportados pelo ar"
"Flu, Weak Immunity, Poor Recovery","Gripe, inmunidad débil, recuperación deficiente","Gripe, Imunidade Fraca, Má Recuperação"
Emotional Distress & Poor Boundaries,Angustia emocional y sin límites,Aflição emocional e limites fracos
"Staph, Strep Throat & Cough","Estafilococo, faringitis estreptocócica y tos","Estafilocócico, Garganta Inflamada e Tosse"
"Cold Sores, Warts & Infected Wounds","Herpes labial, verrugas y heridas infectadas","Aftas, verrugas e feridas infectadas"
Cuts & Scrapes,Cortes y heridas,Cortes e arranhões
Fungus & Parasites,Hongos y parásitos,Fungos e Parasitas
Chronic Fatigue & Autoimmune Disease,Fatiga crónica y enfermedad autoinmune,Fadiga Crônica e Doença Autoimune
Grief & Sadness,Pena y tristeza,Luto e Tristeza
Emotional Release & Reassurance,Relajamiento emocional y tranquilidad,Liberação emocional e reafirmação
Fear & Emotional Pain Relief,Alivio del miedo y del sufrimiento emocional,Medo e alívio emocional da dor
Brain Impairment,Deficiencia cerebral,Insuficiência Cerebral
Spiritual Connectivity & Meditation,Conectividad espiritual y meditación,Conectividade Espiritual e Meditação
Low Libido,Libido baja,Libido baixa
Skin Repair & Anti-Aging,Recuperación de la piel y antienvejecimiento,Reparo da pele e antienvelhecimento
Lung & Bronchial Infection,Infección pulmonar y bronquial,Infecção Pulmonar e Brônquica
"Urinary Infection, Edema & Constipation","Infección urinaria, edema y estreñimiento","Infecção Urinária, Edema e Constipação"
Irregular & Racing Heartbeat,Latidos irregulares y acelerados,Batimentos cardíacos irregulares e acelerados
Fear & Emotional Pain Relief,Alivio del miedo y del sufrimiento emocional,Medo e alívio emocional da dor
"Bloating, Gas, Heartburn, Nausea & Indigestion","Hinchazón, flatulencia, acidez, náusea e indigestión","Inchaço, gases, azia, náusea e indigestão"
Reflux & Colic,Reflujo y cólico,Refluxo e Cólica
Dry Or Sore Throat,Garganta seca o adolorida,Garganta Seca Ou Dolorida
Morning Sickness & Heartburn,Náuseas del embarazo y acidez,Enjoo matinal e azia
Motion & Travel Sickness,Náusea por movimiento o desplazamiento,Enjoo de Movimento e Viagem
Colitis & Irritable Bowel,Colitis e intestino irritable,Colite e Cólon Irritável
Diarrhea & Constipation,Diarrea y estreñimiento,Diarreia ou constipação
Crohn‰Ûªs Disease & Chronic Fatigue,Enfermedad de Crohn y fatiga crónica,Doença de Crohn‰Ûª e Fadiga Crônica
Food Poisoning,Intoxicación alimentaria,Intoxicação alimentar
Cough & Sinus Congestion,Tos y congestión nasal,Tosse e Congestionamento nasal
Stress & Anxiety,Estrés y ansiedad,Estresse e Ansiedade
Jet Lag & Travel Anxiety,Jet lag y ansiedad de viaje,Jet Lag e Ansiedade de Viagem
Mood Swings & Stress,Alteraciones del ánimo y estrés,Alterações de Humor e Estresse
Neurological Conditions,Condiciones neurológicas,Condições neurológicas
"Convulsions, Epilepsy & Parkinson‰Ûªs","Convulsiones, epilepsia y enfermedad de Parkinson","Convulsões, epilepsia e Parkinson‰Ûªs"
Tranquility & Meditation,Tranquilidad y meditación,Tranquilidade e Meditação
Anger & Rage,Ira y rabia,Ira e Raiva
"Fear, Grief & Trauma","Temor, pena y trauma","Medo, Luto e Trauma"
"Apathy, Depression & Energy Issues","Problemas de apatía, depresión y vitalidad","Apatia, depressão e problemas de energia"
Low Libido & Sexual Performance,Libido y desempeño sexual bajos,Baixa Libido e Desempenho Sexual
Mental Fog & Memory Issues,Confusión mental y problemas de memoria,Névoa Mental e Problemas de Memória
Stimulating,Estimulante,Estimular
Sluggish Digestion & Elimination,Digestión y eliminación lentas,Digestão e Eliminação Lentas
Lung & Sinus Congestion,Congestión pulmonar y nasal,Congestão pulmonar e nasal
Frigidity & Poor Circulation,Frigidez y circulación deficiente,Frigidez e má circulação
Menstruation & Menopause Issues,Problemas de menstruación y menopausia,Problemas de Menstruação e Menopausa
Infections,Infecciones,Infecções
Perfume,Perfume,Perfume
Killing Germs & Airborne Pathogens,Eliminador de gérmenes y patógenos de transmision aérea,Matar germes e patógenos transportados pelo ar
Seasonal Immune Boost,Refuerzo estacional del sistema inmunitario,Reforço Imunológico Sazonal
Colds & Flu,Gripes y resfriados,Resfriados e Gripes
"Staph, Strep Throat & Cough","Estafilococo, faringitis estreptocócica y tos","Estafilocócico, Garganta Inflamada e Tosse"
"Cold Sores, Warts & Infected Wounds","Herpes labial, verrugas y heridas infectadas","Aftas, verrugas e feridas infectadas"
Oral Health,Salud oral,Saúde Oral
Fungal & Parasite Issues,Problemas provocados por hongos y parásitos,Problemas de fungos e parasitas
Urinary Tract Issues,Problemas del tracto urinario,Infecções do trato urinário
Antiseptic & Laundry Cleaner,Limpiador antiséptico y para lavandería,Antisséptico e Lavanderia
Chronic Fatigue & Autoimmune Disease,Fatiga crónica y enfermedad autoinmune,Fadiga Crônica e Doença Autoimune
Acne & Pimples,Acné y espinillas,Acne e Espinhas
Oily Skin & Overactive Sebaceous Glands,Piel grasa y glándulas sebáceas hiperactivas,Pele Oleosa e Glândulas Sebáceas Hiperativas
Skin Blemishes & Irritations,Imperfecciones e irritaciones de la piel,Manchas e irritações da pele
Dermatitis & Eczema,Dermatitis y eccema,Dermatite e Eczema
